run_ts,code,name,date,title,sentiment_label,sentiment_confidence,sentiment_score,link
2026-06-21T08:52:29+09:00,023530,롯데쇼핑,2026-06-17,"[리포트 브리핑]롯데쇼핑, '백화점이 이끌고, 계열사가 따라오고' 목표가 260,000원 - 대신증권 - 뉴스핌",neutral,0.976375,0.0,https://news.google.com/rss/articles/CBMiXEFVX3lxTE1pTzU0R2lXUWZfZkRVNzNTU1R5bEotY3d3VkZ3VzZ1Zl8xak1DbDdTNGRvR1RIeUJjS3pka3JMQjd6VjJXblJrbUpFWksteDZwcWxSU242UUtheXY0?oc=5
2026-06-21T08:52:29+09:00,023530,롯데쇼핑,2026-06-18,"외국인 매출 90% 늘어난 롯데쇼핑, 백화점 실적 반등 본격화 - 더파워",positive,0.993654,0.993654,https://news.google.com/rss/articles/CBMifkFVX3lxTE1KLU5uVFJJcmdxeGpRTHhRUnlwTHBMSFdUMWVyV3otWDlIX2ZYNkk5TTktTTFIQ0o0Q3NoaFFnTkRETTNaNjVSNG9HX2FCNzc0QXF3TXhadmhGTXo3LU13QXNQdlVFTXVWX1ZraGZBMjdDU1o3QnBFRWt0VkFoZw?oc=5
2026-06-21T08:52:29+09:00,039830,오로라,2026-06-17,"증권가 ""사상 최대 실적 전망""…오로라 8%↑ - 마켓인",positive,0.993336,0.993336,https://news.google.com/rss/articles/CBMic0FVX3lxTFBEQTc3eFNGcko2TWMwbW54YU5ZbTdQaXhHMi1TdXl6eXRMN1B5eWZYUWZUSVlaOUU4QjlmWDN1LUdJMUhaSHZld2g4WXBUeFpvZnNLeHRDcU01eXltTVhoNWNGN2FZc2xnbHZyY1lyQjFlZW8?oc=5
2026-06-21T08:52:29+09:00,039830,오로라,2026-06-16,"NH투자증권 ""오로라, 미국 법인 성장 등 사상 최대 실적"" - 글로벌이코노믹",positive,0.993403,0.993403,https://news.google.com/rss/articles/CBMiiAFBVV95cUxORnZoSkNKaVhUU0M2LWp4bHRkX05RWTdZYzIxR2FhR0xCSFlIV0NQX0ExOW4yV1dWcDBHMGthTHlpeWRGdEUtVU9MbDVIVG5xSk9wUnc5d1ZJWmZ1Ty1TUE44SUtNbEEyMlZKLWtpX3pUQTFKOG4wS1NxRHVDRXBJRjBKOTR2aXlY?oc=5
2026-06-21T08:52:29+09:00,016360,삼성증권,2026-06-17,"삼성證 “엘앤에프, 목표주가 21만원 하향하지만⋯LFP 양산 개시ㆍ밸류 매력↑ ” - v.daum.net",positive,0.992777,0.992777,https://news.google.com/rss/articles/CBMiT0FVX3lxTE1pYXgzZkRQLTU2RnBtMnpoVXVRNDBHcC1NMmJNeklxZk5vaGdlZnh0YW0zdTY1REVYNjhiNmljUlU4NVJFU3lvLUJadjV5ck0?oc=5
2026-06-21T08:52:29+09:00,016360,삼성증권,2026-06-15,"삼성증권 ""강원랜드, 본격적인 성장은 2028년 이후"" - 연합뉴스",positive,0.813168,0.813168,https://news.google.com/rss/articles/CBMiW0FVX3lxTE1vTlJzcUM4Q3NEVWRTd2llSVl5QTJyRDU3cW9ueTZVT082Ylk1OXUyMTZfNGhRc1p0c25DM05nUWJvZkY5LTB1RFdjY2s0TDFkcmFjT1MwZlh5RWvSAWBBVV95cUxOM0ZDVkk4LU9JbDB1QXB3cE1tMmI5Vl9mRGtHNGdBRTFIM2YtTFZTVG9LeTdzM2pqSk5EMjJ4RWI1Nzg4WWdvZ1RtTFZMQjFCTWtNUGR2Wl9zT1RIVXk3eUg?oc=5
2026-06-21T08:52:29+09:00,014910,성문전자,2026-06-19,"성문전자 주가, 급등세... 무슨 회사길래? - 금강일보",positive,0.992507,0.992507,https://news.google.com/rss/articles/CBMiakFVX3lxTE43QWtZaVlpanpYY013Z1BGTm53RXBWMm9rX3Fnakg2YTJUc1VQMVVVRzY2SFNFby0xTUxlekh6V0tWQWppQnZ4MWV0ajdhb0dseDV5Mm13ZFFJazFUWVVtYU5OcGdVaDh5UGc?oc=5
2026-06-21T08:52:29+09:00,014910,성문전자,2026-06-18,"성문전자 주가, 6월 18일 2,820원 9.94% 상승 마감 - 톱스타뉴스",positive,0.99312,0.99312,https://news.google.com/rss/articles/CBMickFVX3lxTFBkdjBzcUNFcTNITjZKNUJXanZuUzlHb2JGUHpQbnVuX0ZWNDI0aTNtRGdKTXh2QTdXckJLMDZMaFNSbGdxcVRnbHlQV196QUdrU3N2Y3QteVpqYXNNTWZQekFIXzQ4OW90c09VUWM0bUozZw?oc=5
2026-06-21T08:52:29+09:00,055550,신한지주,2026-06-14,"하나증권 ""신한지주 비은행 수익력 개선…목표주가 상향"" - 연합뉴스",positive,0.993537,0.993537,https://news.google.com/rss/articles/CBMie0FVX3lxTFBacVNPOXdKdndSMHAwMGROR3haY0M0UHcxamxvN1FBb3h4b2tVSEwwLUtBZzh4ZHZReXdWakRRVjBOVEVLVVd2VUV1Uzl2Z1lhYmNXWXRTbHQ1S1Z2Y0hHQ09FR05pRmVxNXBfSlBtWkd0by12cTktX0FCY9IBYEFVX3lxTE1kYS1XV21nVjZlTjI4eWdzUnQ5YlBNQ2NNd2dFU0xzdk50SVdiUGhzbkNIdzI4QnpEOVg0Vk1mb0JzMmhrRVZkTGxQSU5NN1VzcnFuM19aUENVZzFaTnFKVg?oc=5
2026-06-21T08:52:29+09:00,055550,신한지주,2026-06-15,신한지주 'CET 1 비율 상승은 RWA 재배분을 통해 ROE와 주주환원율 개선에 기여' 증권사 발표에 강세…3.92% - 매일경제 마켓,positive,0.993715,0.993715,https://news.google.com/rss/articles/CBMiUkFVX3lxTFBFZnU4V1ViUklQNWtlSHlCU2FjMkN1Zm9QTmsyOFhoQ0otRldSRjF5T0tJM3Z5STRoRWdFSFV2em5UZklQeWV2UE5lSVVDN29SYkE?oc=5
2026-06-21T08:52:29+09:00,000990,DB하이텍,2026-06-19,DB하이텍 투자분석 2026. 06. 19 - 주달,neutral,0.985972,0.0,https://news.google.com/rss/articles/CBMic0FVX3lxTE9nNmg0MHoyNS1NaTZuZGFTVWswVDlTNVNlejA3MDFhRWs2aG91WDF2Z3pJRWdMR3REejQ5b1hqeF9MblNrUVR6bTdLQk04NGt3S28zN1h1aDdTODkwRWhGZHpCOTNYel9CZUVLUTFwT19fRUk?oc=5
2026-06-21T08:52:29+09:00,000990,DB하이텍,2026-06-19,"주가 상승여력 여전…삼전닉스, 계속 산다[주식 초고수는 지금] - 매일경제",positive,0.987164,0.987164,https://news.google.com/rss/articles/CBMiUkFVX3lxTE42a1E4TExHUUNtemV2TXlmVEppS1RILUVCTVFrdkRMdWJuQXJmUTJwMEw3XzAyTjdCSjlfMFNGam5yclZQQTZ2bW1uQ1dyZnVoZUE?oc=5
2026-06-21T08:52:29+09:00,067310,하나마이크론,2026-06-17,"하나마이크론 주가, 6월 17일 장중 51,400원 2.59% 상승 - 톱스타뉴스",positive,0.993243,0.993243,https://news.google.com/rss/articles/CBMickFVX3lxTE0xblRISGphaE10WkJQX2lLUnFlSFZVQ24zcGtkeU5lN2FDOE9sSFRtTHJBalpQUmhfLUh1UUpuNEtEYUxoYl9XMXhpVkppMEpnVW5zclg0bnRRaEtIYmI0azNJak9iWHl5QnZ0OVZiN0pJQQ?oc=5
2026-06-21T08:52:29+09:00,067310,하나마이크론,2026-06-14,하나마이크론 투자분석 2026. 06. 14 - 주달,neutral,0.991641,0.0,https://news.google.com/rss/articles/CBMic0FVX3lxTE16M2ttTV9uWU1JeWxIR3MzUWFiZDlSYnZJX0tFellWN3pUejJuSFk4N3dzcDVYV3Rxd005SU9iaU1MUlhHSlFpTlJRS1pnbVllTjNPcnkzNWtQMlhQVWRHRVk1VTh3bW04akZUV0JZLUN2QzA?oc=5
2026-06-21T08:52:29+09:00,446540,메가터치,2026-06-15,"최우용 상무이사, 메가터치 주식 1997주 추가 매수 - 디지털투데이",positive,0.990957,0.990957,https://news.google.com/rss/articles/CBMic0FVX3lxTE9uRERHVzBkOVhYeWJ0aEw0MXQ1SWxNYXlMazJ0WlFCWUtjZEZQbjBJUGJtYVhHRHNDQ1FxMC1IVTB5d3hQRURfWlJ1RjdKbnlUYVNwOHlBRjM2djdHNVhhZ0FBemVfMEM1emw3cWRhY3VYVXM?oc=5
2026-06-21T08:52:29+09:00,446540,메가터치,2026-06-19,메가터치 투자분석 2026. 06. 19 - 주달,neutral,0.99148,0.0,https://news.google.com/rss/articles/CBMic0FVX3lxTFBZZk11U0IzZ3llaTFKLUd3OWxpSkZkN2Jza0Q0UFpzZ2gyTHlza0JGMTRnNGp5TC1pbHdKQS1UczUtQTl0Zm94akJidHNVNVRxWnVLQ0tIX3V5VU9PS01sVl9qYV9rUldIUzhpSmN0Z21YWnM?oc=5
2026-06-21T08:52:29+09:00,034730,SK,2026-06-14,"""16만원이냐 59만원이냐""…최태원·노소영, 이번엔 SK 주가 전쟁 - 한국경제",neutral,0.744048,0.0,https://news.google.com/rss/articles/CBMiWkFVX3lxTE5rdjJHUy03TFZ6bGtsNzhwOEctdTJrSkh3eWxYb0hadFQ2anZ5ZklHZ0o0MUo0MjJKVGs0b3EzdERYeE9tTEdJTFFwNFZrSnNHN2tGQ2p2Z2ZWQdIBVEFVX3lxTE51WW5sR01WWmZCLVpXR1VWNFhjclFDTzlQelZpaU5oUTAxU2FjdW9oM1JWMFllWVJFcXlhYVB5VWk3Xzlab2tOdlBQUU54RzU3eVFEVA?oc=5
2026-06-21T08:52:29+09:00,034730,SK,2026-06-14,SK 주가 4배 뛴 사이…최태원·노소영 2년 만에 마주한다 - 조선일보,positive,0.812946,0.812946,https://news.google.com/rss/articles/CBMiakFVX3lxTE5vdmVndHZobmptMmhTRlpUOVlHTEhqS01vUkZ2TTVqdl94QzlSTzA4cmlZTndmd1dER1h3Y3lDaDRrNXVEWUE0YzFLM0tLd1E0S21xVHM3VXJ4OFU3VnhQVnI0cjlkWDQ0VVHSAW5BVV95cUxNLU5Ed29WREc0dndmN2JxVm5vWWd0N3ktc0d4V3BfbDU5U29maHJmU3ZqNkt4VWN0LUtJYmY4eUhfSWtLQk5qdE10U3IzQzNLeHgyQzRzODZNOS1udUxRVUswTHdGTGRoRFhXZzdudw?oc=5
2026-06-21T08:52:29+09:00,033780,KT&G,2026-06-14,"널뛰는 코스피…증권가 ""방어주 KT&G 투자 적기"" [종목+] - 한국경제",negative,0.964552,-0.964552,https://news.google.com/rss/articles/CBMiWkFVX3lxTE5iVzJKWWFIRk00WnlJOHJMRnVSSHpabTJ2MFUzRGp6SjNxTEN2cUZ0UjJDZ3NyQVdaSm9kQXhSMEV3M3hWRXRnbVItTnd2dzBiVjg4SkdVaFQ0QdIBVEFVX3lxTFBaS3UxX053Q3V2N3BBUmVzWW1SYlo2N09QRUM1bHdhaHFKSXdyczB3SE1UbEJLdTlSZ0s5OGlsVmxkOUx3b0Y3OWpySzdlUzNxN0lDRw?oc=5
2026-06-21T08:52:29+09:00,033780,KT&G,2026-06-16,"안정·성장·배당 삼박자...KT&G, 美 액티브 펀드서 ‘매수 러시’ - 뉴스톱",positive,0.993638,0.993638,https://news.google.com/rss/articles/CBMib0FVX3lxTE1jYjNEUkUwZDVkZUpkWERETU5UVGhIMHptdjBYLTNYU1ZZZVJNNG1hZ3FVNExlcjVVdVhjLTk5cThIdEtDU3BYZ1lzLXhxbl9IX0JkZzAwbzJJLUp6OC0zMWE4N00wd1V3MzRwZFJ4WQ?oc=5
2026-06-21T08:52:29+09:00,057540,옴니시스템,2026-06-18,"옴니시스템, 소수계좌 거래집중 지정→투자주의 경보 - 톱스타뉴스",negative,0.584776,-0.584776,https://news.google.com/rss/articles/CBMickFVX3lxTE81Y0lxLWlVbFVTYVk5TXd3V3JPSVRXMGFIQVo4ZHg2UXlqb29wME9Dcm9WWHdWS2VSYWZVeTFNVWJtbzlNUjBfZHZGTngycWN1bDMwNVlJTlVrem9fZEZ5am8tYktoRExSZnR3OVVRVzhlQQ?oc=5
2026-06-21T08:52:29+09:00,057540,옴니시스템,2026-06-18,AI 시대 전력 관리가 돈 된다… 서전기전 ·삼화콘덴서 ·옴니시스템 주가 훨훨 - 핀포인트뉴스,positive,0.993619,0.993619,https://news.google.com/rss/articles/CBMic0FVX3lxTE1wcVMtZV80V3NVWVJ6c0pwMnZ1NUllaFAyQjM2UVR3clNJZTNVOE0tNlVDY0ZFeTZiSkJ0LVJHaTlJME9Yd2dVX3RiY1d0amY1SHdFNXB2cUpqM2lpRGNqTW5uZmt5UG5GQXpPM1RyTUlFX3PSAXdBVV95cUxNczBqdkwwNmU0NFlsWXNnVGlibjhBemx4dlFFRjQ2Mmljb3V2WkQ4UUJoRVRsdE0taG4wMDd6ZVJGZXhyYXJWT0lQQTFCVThJSWMyZmotZ2MwTS1ualZsb2M2cnBVZ3EwQXNnd0J3NG9XeDFiY0tpOA?oc=5
2026-06-21T08:52:29+09:00,462520,조선내화,2026-06-17,조선내화 투자분석 2026. 06. 17 - 주달,neutral,0.985411,0.0,https://news.google.com/rss/articles/CBMic0FVX3lxTE5oN1VTamtuUDdUY19jVkNwMU5lSS1jSnlXZkZmQmhWcGlmMzBwUmVmRjFPeVZDenBoNVQ2NERuZ0pQY1pwdUhrRnI1MGRFd3NJUmwyY2J5RDd6WEt4Qk85cThrTklGcHkxUUdpY0tEbGpDNEU?oc=5
2026-06-21T08:52:29+09:00,462520,조선내화,2026-06-20,CR홀딩스 투자분석 2026. 06. 20 - 주달,neutral,0.993022,0.0,https://news.google.com/rss/articles/CBMic0FVX3lxTE5SeDhsb0RpQkgtY1JRX0N1bWZ3d0tucDBwNks0ZXV4Z1pSMWhCWkczd29hU0t5TDAySXFUZ0tFOXZaN2ZyN3pfS1dvYXU4ZTZLSzluYXZ5dXdQQW9rTnQ1a0Z0bEg4QTJNbko3UEdpR0FoT28?oc=5
