cost_bps,total_return_pct,max_drawdown_pct,sharpe_ratio,win_rate_pct,total_trades,final_equity_krw,total_cost_krw
0,49.2,-10.14,2.5876,45.07,142,1492044.52,0.0
10,46.36,-10.41,2.4493,45.07,142,1463551.91,28878.4
20,43.51,-10.67,2.3101,44.37,142,1435059.3,57756.79
30,40.66,-10.95,2.1703,44.37,142,1406566.7,86635.19
