year,cost_bps,total_return_pct,max_drawdown_pct,sharpe_ratio,win_rate_pct,total_trades,final_equity_krw,total_cost_krw
2022,0,13.97,-3.77,3.5556,59.26,27,1139687.37,0.0
2023,0,-2.05,-11.26,-0.2524,34.21,38,979500.19,0.0
2024,0,2.6,-7.45,0.772,37.93,29,1026027.38,0.0
2025,0,97.45,-4.19,2.6061,43.59,39,1974461.82,0.0
