Date,Open,High,Low,Close,Volume,code,name,ret_cc,mom_1d,mom_3d,mom_5d,mom_10d,mom_20d,vol_10d,vol_20d,dollar_volume,oc_ret,oo_ret,cc_next_ret,situation,market_mom_20d,market_vol_20d,weekday,week_key,monday_open,friday_close,monfri_open_to_fri_close_ret,score,rank,trade_return
2025-05-26,6705.89019603588,6884.185651765046,6289.8674660011575,6686.07958984375,117143,000230,일동홀딩스,0.02583586375659741,-0.0784313468280401,0.09302321963209104,0.10033448014123092,0.08580856662946235,0.09849753319589993,0.061634673366732666,0.04467154426329998,1209122641.2070312,-0.002954209748892156,0.004431301315908964,0.0044444311368412315,flat_low_vol,0.015886059403599218,0.0068225431302252485,0,2025-05-24/2025-05-30,6705.89019603588,6695.98486328125,-0.0014771092972093447,1.755733949239708,3.0,-0.004577109297209345
2023-09-04,3465.737909468709,3607.1035347233537,3420.136094870437,3497.6591796875,763158,001200,유진투자증권,0.015894108955090802,-0.1022592626049097,-0.10861870011754227,-0.07134076751411511,-0.08484853597702491,0.05446922821084321,0.03635721815428795,0.03861901555992962,31795366116.429443,0.009210526315789558,0.010526274365025845,0.045632290904380035,flat_low_vol,0.01771342291064082,0.009084769020333538,0,2023-09-02/2023-09-08,3465.737909468709,3483.978515625,0.005263123361537447,2.6478992569404594,3.0,0.0021631233615374474
2024-06-24,1125.5531005859375,1133.5357466893838,1121.5617775342143,1125.5531005859375,225836,001510,SK증권,0.0017761489531444852,-0.02931036319248459,-0.005300312496352655,0.0017794183046841994,-0.010544840971143166,-0.03924918879547168,0.013044363047970643,0.009935830198565062,1212820767.4317627,0.0,-0.005319082155329391,0.0053192164312445556,flat_low_vol,-0.001613557309759095,0.005701886836003283,0,2024-06-22/2024-06-28,1125.5531005859375,1121.561767578125,-0.0035461081362884173,2.9499661937376516,1.0,-0.006646108136288418
2025-05-26,2350.0,2405.0,2295.0,2325.0,579735,001780,알루코,-0.008528784648187626,-0.07677165354330706,-0.062000000000000055,-0.008456659619450302,0.03532008830022071,0.09836065573770503,0.037348630422976425,0.027376385019370838,3170583045.0,-0.010638297872340385,-0.004255319148936176,-0.008602150537634357,flat_low_vol,0.015886059403599218,0.0068225431302252485,0,2025-05-24/2025-05-30,2350.0,2255.0,-0.04042553191489362,2.804302083309589,1.0,-0.04352553191489362
2024-01-29,1075.0,1085.0,1003.0,1030.0,979139,002880,디와이에이,-0.01717557251908397,-0.09420916162489201,0.10084033613445387,0.11252653927813161,0.03762376237623766,-0.1649402390438247,0.07014410566658084,0.05184610805933049,1590403928.0,-0.041860465116279055,0.20930232558139528,0.09320388349514563,flat_low_vol,0.0011920354102821218,0.008538902312512822,0,2024-01-27/2024-02-02,1075.0,1077.0,0.0018604651162790198,1.8170922592122642,2.0,-0.0012395348837209801
2025-10-13,140730.72022058823,143602.77573529413,137957.70110294118,143107.59375,10908,003030,세아제강지주,0.0027758152294408145,-0.06184892797355379,-0.091997468120115,-0.0762820301474727,-0.14480716728310994,-0.18862616744222238,0.02242480482640882,0.018762656234492307,2604055885.171875,0.01688951442646025,0.002111219240962914,-0.011072634816068239,flat_low_vol,0.014900562602443879,0.006045044824193007,0,2025-10-11/2025-10-17,140730.72022058823,144890.25,0.02955665808355068,3.2963844351555025,1.0,0.02645665808355068
2025-04-07,764219.011988491,796102.9864130435,745287.9021739131,779164.625,79925,003230,삼양식품,-0.022499940997000922,-0.051008274813763466,-0.055489939836458335,-0.05213274404224977,-0.12758994393589462,-0.11699782046382301,0.024837579502195346,0.02236144305446447,111373904339.75,0.019556714471968606,0.0508473167197554,0.02813285446576841,flat_low_vol,-0.00166271842297816,0.00940218738510542,0,2025-04-05/2025-04-11,764219.011988491,899725.8125,0.17731409240777918,2.2810815334916255,2.0,0.1742140924077792
2024-04-01,717886.0867132867,724855.8545454545,706933.5944055944,711912.0,2504,003240,태광산업,-0.01379310523960331,-0.05598961334474328,0.006944489246351049,0.006944489246351049,-0.03718450328923095,-0.07760815915684194,0.03346612841688515,0.02478801150229094,4224376290.75,-0.00832177531206657,-0.011095713301127352,-0.029370642017552684,flat_low_vol,0.01669030955076245,0.0044383247490362415,0,2024-03-30/2024-04-05,717886.0867132867,679054.5,-0.054091571674094174,2.258737589320896,1.0,-0.05719157167409417
2025-11-10,1942.0,1987.0,1942.0,1985.0,337633,003520,영진약품,0.02266872746007209,-0.046191646191646174,-0.04384236453201973,-0.05776699029126209,-0.03672456575682381,-0.02511300853842291,0.01735747851432055,0.016523575398380872,3661508223.0,0.02214212152420192,0.02471678681771361,-0.011083123425692731,flat_low_vol,-0.005071239486558521,0.009728454567368419,0,2025-11-08/2025-11-14,1942.0,2060.0,0.0607621009268795,2.795499465338019,3.0,0.057662100926879505
2023-05-22,54268.84765625,54631.849981709864,53724.3441680602,54268.84765625,77850,004000,롯데정밀화학,-0.008291892075557805,-0.024271828431029707,-0.019512140837083636,-0.024271828431029707,-0.03519998115714551,-0.01631317968217383,0.009299820551087861,0.011690601515475569,4092867538.6640625,0.0,0.008361193229157848,0.0016722300899925102,flat_low_vol,-0.015481399551282027,0.00889588257321523,0,2023-05-20/2023-05-26,54268.84765625,53361.34375,-0.016722372879525937,2.0761830260743723,1.0,-0.019822372879525936
