situation,momentum_col,vol_col,mode,return_col,top_n,min_dollar_volume,min_abs_momentum,objective,train_test_return_gap_pct,train_test_sharpe_gap,train_days,train_active_days,train_total_trades,train_final_value_krw,train_total_return_pct,train_cagr_pct,train_max_drawdown_pct,train_sharpe,train_win_rate_pct,train_profit_factor,test_days,test_active_days,test_total_trades,test_final_value_krw,test_total_return_pct,test_cagr_pct,test_max_drawdown_pct,test_sharpe,test_win_rate_pct,test_profit_factor
down_high_vol,mom_20d,vol_20d,reversal,cc_next_ret,3,1000000000,0.03,-2.2433,44.22,3.212,200,199,597,573101.2,-42.69,-17.5,-58.11,-1.179,47.74,0.817,6,6,18,1015321.38,1.53,2.41,-2.09,2.033,66.67,1.383
down_high_vol,mom_20d,vol_20d,reversal,oc_ret,3,100000000,0.0,-2.3553,7.73,2.056,200,200,600,901076.02,-9.89,-3.54,-27.74,-0.097,48.5,0.984,6,6,18,978393.17,-2.16,-3.37,-2.76,-2.153,33.33,0.675
down_high_vol,mom_20d,vol_20d,reversal,oc_ret,3,100000000,0.03,-2.3553,7.73,2.056,200,200,600,901076.02,-9.89,-3.54,-27.74,-0.097,48.5,0.984,6,6,18,978393.17,-2.16,-3.37,-2.76,-2.153,33.33,0.675
down_high_vol,mom_5d,vol_20d,reversal,cc_next_ret,10,1000000000,0.0,-2.8328,47.37,4.552,200,199,1972,543906.91,-45.61,-18.98,-50.2,-1.991,47.24,0.718,6,6,60,1017636.85,1.76,2.78,-0.56,2.561,33.33,1.588
down_high_vol,mom_5d,vol_20d,reversal,cc_next_ret,10,1000000000,0.03,-2.8334,47.89,4.545,200,198,1962,538720.37,-46.13,-19.24,-50.68,-1.984,47.47,0.719,6,6,60,1017636.85,1.76,2.78,-0.56,2.561,33.33,1.588
down_high_vol,mom_1d,vol_20d,momentum,cc_next_ret,10,1000000000,0.0,-2.9794,79.96,26.293,200,199,1978,281370.25,-71.86,-35.48,-75.18,-4.152,35.68,0.496,6,6,60,1080979.12,8.1,12.98,0.0,22.141,100.0,
down_high_vol,mom_20d,vol_20d,momentum,cc_next_ret,10,1000000000,0.03,-3.017,83.11,28.87,200,200,1969,259688.57,-74.03,-37.24,-76.35,-4.44,37.0,0.474,6,6,60,1090753.72,9.08,14.59,0.0,24.43,100.0,
down_high_vol,mom_20d,vol_20d,momentum,cc_next_ret,10,1000000000,0.0,-3.0495,83.23,28.895,200,200,1973,258451.14,-74.15,-37.35,-76.46,-4.465,36.5,0.472,6,6,60,1090753.72,9.08,14.59,0.0,24.43,100.0,
down_high_vol,mom_1d,vol_20d,momentum,cc_next_ret,10,100000000,0.03,-3.0787,81.67,20.581,200,198,1929,310804.86,-68.92,-33.22,-71.93,-3.64,40.4,0.535,6,6,60,1127528.04,12.75,20.7,0.0,16.941,83.33,35.28
down_high_vol,mom_20d,vol_20d,reversal,oc_ret,10,100000000,0.0,-3.1208,46.09,2.192,200,200,1994,540041.63,-46.0,-19.18,-52.24,-1.924,44.0,0.726,6,6,60,1000914.96,0.09,0.14,-4.98,0.268,50.0,1.043
down_high_vol,mom_20d,vol_20d,reversal,oc_ret,10,100000000,0.03,-3.1208,46.09,2.192,200,200,1994,540041.63,-46.0,-19.18,-52.24,-1.924,44.0,0.726,6,6,60,1000914.96,0.09,0.14,-4.98,0.268,50.0,1.043
