Date,week_key,baseline_picks,kept_picks,vetoed_picks,gate_status,baseline_avg_trade_return,veto_avg_trade_return,delta_avg_trade_return,baseline_names,kept_names,vetoed_names,reasons
2022-05-02,2022-04-30/2022-05-06,3,2,1,READY_WITH_VETO,0.046900065807148304,0.06381186341660486,0.016911797609456554,"우리금융지주, 아시아종묘, 롯데칠성","우리금융지주, 롯데칠성",아시아종묘,154030:excessive_intraday_range
2022-12-19,2022-12-17/2022-12-23,3,3,0,READY,-0.056769610856168995,-0.056769610856168995,0.0,"플래스크, LG유플러스, 유니드","플래스크, LG유플러스, 유니드",,
2023-02-27,2023-02-25/2023-03-03,3,3,0,READY,0.07278452104358225,0.07278452104358225,0.0,"벨로크, 휴맥스, 이지트로닉스","벨로크, 휴맥스, 이지트로닉스",,
2023-03-06,2023-03-04/2023-03-10,3,3,0,READY,-0.054082574772915705,-0.054082574772915705,0.0,"에스원, 링크제니시스, 부산주공","에스원, 링크제니시스, 부산주공",,
2023-05-08,2023-05-06/2023-05-12,3,3,0,READY,-0.013242253979459198,-0.013242253979459198,0.0,"KCC글라스, KTcs, 동일기연","KCC글라스, KTcs, 동일기연",,
2023-05-15,2023-05-13/2023-05-19,3,2,1,READY_WITH_VETO,-0.04272521158120673,-0.046512200317072344,-0.0037869887358656165,"디와이피엔에프, 아크솔루션스, 위메이드맥스","아크솔루션스, 위메이드맥스",디와이피엔에프,"104460:excessive_gap,excessive_intraday_range"
2023-05-22,2023-05-20/2023-05-26,3,3,0,READY,-0.009560573765163533,-0.009560573765163533,0.0,"롯데정밀화학, 현대그린푸드, HD현대일렉트릭","롯데정밀화학, 현대그린푸드, HD현대일렉트릭",,
2023-06-26,2023-06-24/2023-06-30,3,2,1,READY_WITH_VETO,0.09148018298699916,-0.047593400039127695,-0.13907358302612685,"파라택시스코리아, 신스틸, 강원랜드","파라택시스코리아, 강원랜드",신스틸,162300:excessive_intraday_range
2023-07-03,2023-07-01/2023-07-07,3,3,0,READY,-0.029552136018970266,-0.029552136018970266,0.0,"KC코트렐, 에스앤에스텍, 위메이드맥스","KC코트렐, 에스앤에스텍, 위메이드맥스",,
2023-07-17,2023-07-15/2023-07-21,3,3,0,READY,-0.0583419837405618,-0.0583419837405618,0.0,"엠에스씨, 디젠스, 한양디지텍","엠에스씨, 디젠스, 한양디지텍",,
2023-07-24,2023-07-22/2023-07-28,3,3,0,READY,-0.017970349621652972,-0.017970349621652972,0.0,"졸스, 유니테스트, 성광벤드","졸스, 유니테스트, 성광벤드",,
