Date,picks,daily_return,equity
2022-01-10,0,0.0,1000000.0
2022-01-17,0,0.0,1000000.0
2022-01-24,0,0.0,1000000.0
2022-02-07,0,0.0,1000000.0
2022-02-14,0,0.0,1000000.0
2022-02-21,0,0.0,1000000.0
2022-02-28,0,0.0,1000000.0
2022-03-07,0,0.0,1000000.0
2022-03-14,0,0.0,1000000.0
2022-03-21,0,0.0,1000000.0
2022-03-28,0,0.0,1000000.0
2022-04-04,0,0.0,1000000.0
2022-04-11,0,0.0,1000000.0
2022-04-18,0,0.0,1000000.0
2022-04-25,0,0.0,1000000.0
2022-05-02,3,0.04690006580714837,1046900.0658071483
2022-05-16,0,0.0,1046900.0658071483
2022-05-23,0,0.0,1046900.0658071483
2022-05-30,0,0.0,1046900.0658071483
2022-06-13,0,0.0,1046900.0658071483
2022-06-20,0,0.0,1046900.0658071483
2022-06-27,0,0.0,1046900.0658071483
2022-07-04,0,0.0,1046900.0658071483
2022-07-11,0,0.0,1046900.0658071483
2022-07-18,0,0.0,1046900.0658071483
2022-07-25,0,0.0,1046900.0658071483
2022-08-01,0,0.0,1046900.0658071483
2022-08-08,0,0.0,1046900.0658071483
2022-08-22,0,0.0,1046900.0658071483
2022-08-29,0,0.0,1046900.0658071483
2022-09-05,0,0.0,1046900.0658071483
2022-09-19,0,0.0,1046900.0658071483
2022-09-26,0,0.0,1046900.0658071483
2022-10-17,0,0.0,1046900.0658071483
2022-10-24,0,0.0,1046900.0658071483
2022-10-31,0,0.0,1046900.0658071483
2022-11-07,0,0.0,1046900.0658071483
2022-11-14,0,0.0,1046900.0658071483
2022-11-21,0,0.0,1046900.0658071483
2022-11-28,0,0.0,1046900.0658071483
2022-12-05,0,0.0,1046900.0658071483
2022-12-12,0,0.0,1046900.0658071483
2022-12-19,3,-0.05676961085616903,987467.9564659788
2022-12-26,0,0.0,987467.9564659788
2023-01-02,0,0.0,987467.9564659788
2023-01-09,0,0.0,987467.9564659788
2023-01-16,0,0.0,987467.9564659788
2023-01-30,0,0.0,987467.9564659788
2023-02-06,0,0.0,987467.9564659788
2023-02-13,0,0.0,987467.9564659788
2023-02-20,0,0.0,987467.9564659788
2023-02-27,3,0.07278452104358235,1059340.3387232402
2023-03-06,3,-0.054082574772915754,1002048.4856442744
2023-03-13,0,0.0,1002048.4856442744
2023-03-20,0,0.0,1002048.4856442744
2023-03-27,0,0.0,1002048.4856442744
2023-04-03,0,0.0,1002048.4856442744
2023-04-10,0,0.0,1002048.4856442744
2023-04-17,0,0.0,1002048.4856442744
2023-04-24,0,0.0,1002048.4856442744
2023-05-08,3,-0.013242253979459192,988779.1050976404
2023-05-15,3,-0.042725211581206714,946533.3086252675
2023-05-22,3,-0.009560573765163552,937483.9071069714
2023-06-05,0,0.0,937483.9071069714
2023-06-12,0,0.0,937483.9071069714
2023-06-19,0,0.0,937483.9071069714
2023-06-26,3,0.09148018298699916,1023245.106476484
2023-07-03,3,-0.029552136018970266,993006.0279091452
2023-07-10,0,0.0,993006.0279091452
2023-07-17,3,-0.05834198374056185,935072.0863745899
2023-07-24,3,-0.017970349621652976,918268.5140609901
2023-07-31,0,0.0,918268.5140609901
2023-08-07,0,0.0,918268.5140609901
2023-08-14,0,0.0,918268.5140609901
2023-08-21,0,0.0,918268.5140609901
2023-08-28,0,0.0,918268.5140609901
2023-09-04,3,-0.06208466689249744,861258.1192476448
2023-09-11,3,0.04717583183720126,901888.687449696
2023-09-18,0,0.0,901888.687449696
2023-09-25,0,0.0,901888.687449696
2023-10-16,0,0.0,901888.687449696
2023-10-23,0,0.0,901888.687449696
2023-10-30,0,0.0,901888.687449696
2023-11-06,0,0.0,901888.687449696
2023-11-13,0,0.0,901888.687449696
2023-11-20,0,0.0,901888.687449696
2023-11-27,0,0.0,901888.687449696
2023-12-04,0,0.0,901888.687449696
2023-12-11,0,0.0,901888.687449696
2023-12-18,0,0.0,901888.687449696
2024-01-08,0,0.0,901888.687449696
2024-01-15,0,0.0,901888.687449696
2024-01-22,3,-0.005677933482964051,896767.8234733188
2024-01-29,3,-0.06934671100248481,834579.9243825873
2024-02-05,0,0.0,834579.9243825873
2024-02-19,0,0.0,834579.9243825873
2024-02-26,0,0.0,834579.9243825873
2024-03-04,3,0.030926882972719644,860390.8800353488
2024-03-11,3,0.0007019294025478658,860994.8136917297
2024-03-18,3,-0.001419591142553013,859772.5530804289
2024-03-25,3,0.0009137266926031701,860558.150211746
2024-04-01,3,-0.03172048311583217,833260.8299377625
2024-04-08,3,0.0003767584370241416,833574.7679856834
2024-04-15,3,-0.019266166712426508,817514.9775383989
2024-04-22,0,0.0,817514.9775383989
2024-04-29,0,0.0,817514.9775383989
2024-05-13,3,0.06741532323906381,872628.014001926
2024-05-20,0,0.0,872628.014001926
2024-05-27,0,0.0,872628.014001926
2024-06-03,3,0.06503931780781107,929383.1447325964
2024-06-10,3,0.10307126084812035,1025175.8372711762
2024-06-17,3,-0.053090461753658585,970748.7786917558
2024-06-24,3,-0.004556362617940168,966325.6952451137
2024-07-01,3,0.3293345088453899,1284570.093473343
2024-07-08,0,0.0,1284570.093473343
2024-07-15,0,0.0,1284570.093473343
2024-07-22,0,0.0,1284570.093473343
2024-07-29,0,0.0,1284570.093473343
2024-08-05,0,0.0,1284570.093473343
2024-08-12,0,0.0,1284570.093473343
2024-08-19,0,0.0,1284570.093473343
2024-08-26,0,0.0,1284570.093473343
2024-09-02,0,0.0,1284570.093473343
2024-09-09,0,0.0,1284570.093473343
2024-09-23,0,0.0,1284570.093473343
2024-09-30,0,0.0,1284570.093473343
2024-10-07,0,0.0,1284570.093473343
2024-10-14,0,0.0,1284570.093473343
2024-10-21,0,0.0,1284570.093473343
2024-10-28,0,0.0,1284570.093473343
2024-11-04,0,0.0,1284570.093473343
2024-11-11,0,0.0,1284570.093473343
2024-11-18,0,0.0,1284570.093473343
2024-11-25,0,0.0,1284570.093473343
2024-12-02,0,0.0,1284570.093473343
2024-12-09,0,0.0,1284570.093473343
2024-12-16,0,0.0,1284570.093473343
2024-12-23,0,0.0,1284570.093473343
2024-12-30,0,0.0,1284570.093473343
2025-01-06,0,0.0,1284570.093473343
2025-01-13,0,0.0,1284570.093473343
2025-01-20,0,0.0,1284570.093473343
2025-02-03,0,0.0,1284570.093473343
2025-02-10,0,0.0,1284570.093473343
2025-02-17,0,0.0,1284570.093473343
2025-02-24,0,0.0,1284570.093473343
2025-03-10,3,0.012661451060939884,1300834.6148462028
2025-03-17,3,0.06074272726078208,1379850.8570671903
2025-03-24,0,0.0,1379850.8570671903
2025-03-31,0,0.0,1379850.8570671903
2025-04-07,3,0.08522070090774321,1497442.7142546065
2025-04-14,0,0.0,1497442.7142546065
2025-04-21,0,0.0,1497442.7142546065
2025-04-28,0,0.0,1497442.7142546065
2025-05-12,0,0.0,1497442.7142546065
2025-05-19,0,0.0,1497442.7142546065
2025-05-26,3,-0.03154566154881545,1450204.893201991
2025-06-02,0,0.0,1450204.893201991
2025-06-09,0,0.0,1450204.893201991
2025-06-16,0,0.0,1450204.893201991
2025-06-23,0,0.0,1450204.893201991
2025-06-30,0,0.0,1450204.893201991
2025-07-07,0,0.0,1450204.893201991
