Date,005930,000660,equity
2022-01-04,1000000.0,1000000.0,1000000.0
2022-01-05,1000000.0,1000000.0,1000000.0
2022-01-06,1000000.0,1000000.0,1000000.0
2022-01-07,1000000.0,1000000.0,1000000.0
2022-01-10,1000000.0,1000000.0,1000000.0
2022-01-11,1000000.0,1000000.0,1000000.0
2022-01-12,1000000.0,1000000.0,1000000.0
2022-01-13,1000000.0,1000000.0,1000000.0
2022-01-14,1000000.0,1000000.0,1000000.0
2022-01-17,1000000.0,1000000.0,1000000.0
2022-01-18,1000000.0,1000000.0,1000000.0
2022-01-19,1000000.0,1000000.0,1000000.0
2022-01-20,1000000.0,1000000.0,1000000.0
2022-01-21,1000000.0,1000000.0,1000000.0
2022-01-24,1000000.0,1000000.0,1000000.0
2022-01-25,1000000.0,1000000.0,1000000.0
2022-01-26,1000000.0,1000000.0,1000000.0
2022-01-27,1000000.0,1000000.0,1000000.0
2022-01-28,1000000.0,1000000.0,1000000.0
2022-02-03,1000000.0,1000000.0,1000000.0
2022-02-04,1000000.0,1000000.0,1000000.0
2022-02-07,1000000.0,1000000.0,1000000.0
2022-02-08,1000000.0,1000000.0,1000000.0
2022-02-09,1000000.0,1000000.0,1000000.0
2022-02-10,1000000.0,1000000.0,1000000.0
2022-02-11,1000000.0,1000000.0,1000000.0
2022-02-14,1000000.0,1000000.0,1000000.0
2022-02-15,1000000.0,1000000.0,1000000.0
2022-02-16,1000000.0,1000000.0,1000000.0
2022-02-17,1000000.0,1000000.0,1000000.0
2022-02-18,1000000.0,1000000.0,1000000.0
2022-02-21,1000000.0,1000000.0,1000000.0
2022-02-22,1000000.0,1000000.0,1000000.0
2022-02-23,1000000.0,1000000.0,1000000.0
2022-02-24,1000000.0,1000000.0,1000000.0
2022-02-25,1000000.0,1000000.0,1000000.0
2022-02-28,1000000.0,1000000.0,1000000.0
2022-03-02,1000000.0,1000000.0,1000000.0
2022-03-03,1000000.0,1000000.0,1000000.0
2022-03-04,1000000.0,1000000.0,1000000.0
2022-03-07,1000000.0,1000000.0,1000000.0
2022-03-08,1000000.0,1000000.0,1000000.0
2022-03-10,1000000.0,1000000.0,1000000.0
2022-03-11,1000000.0,1000000.0,1000000.0
2022-03-14,1000000.0,1000000.0,1000000.0
2022-03-15,1000000.0,1000000.0,1000000.0
2022-03-16,1000000.0,1000000.0,1000000.0
2022-03-17,1000000.0,1000000.0,1000000.0
2022-03-18,1000000.0,1000000.0,1000000.0
2022-03-21,1000000.0,1000000.0,1000000.0
2022-03-22,1000000.0,1000000.0,1000000.0
2022-03-23,1000000.0,1000000.0,1000000.0
2022-03-24,1000000.0,1000000.0,1000000.0
2022-03-25,1000000.0,1000000.0,1000000.0
2022-03-28,1000000.0,1000000.0,1000000.0
2022-03-29,1000000.0,1000000.0,1000000.0
2022-03-30,1000000.0,1000000.0,1000000.0
2022-03-31,1000000.0,1000000.0,1000000.0
2022-04-01,1000000.0,1000000.0,1000000.0
2022-04-04,1000000.0,1000000.0,1000000.0
2022-04-05,1000000.0,1000000.0,1000000.0
2022-04-06,1000000.0,1000000.0,1000000.0
2022-04-07,1000000.0,1000000.0,1000000.0
2022-04-08,1000000.0,1000000.0,1000000.0
2022-04-11,1000000.0,1000000.0,1000000.0
2022-04-12,1000000.0,1000000.0,1000000.0
2022-04-13,1000000.0,1000000.0,1000000.0
2022-04-14,1000000.0,1000000.0,1000000.0
2022-04-15,1000000.0,1000000.0,1000000.0
2022-04-18,1000000.0,1000000.0,1000000.0
2022-04-19,1000000.0,1000000.0,1000000.0
2022-04-20,1000000.0,1000000.0,1000000.0
2022-04-21,1000000.0,1000000.0,1000000.0
2022-04-22,1000000.0,1000000.0,1000000.0
2022-04-25,1000000.0,1000000.0,1000000.0
2022-04-26,1000000.0,1000000.0,1000000.0
2022-04-27,1000000.0,1000000.0,1000000.0
2022-04-28,1000000.0,1000000.0,1000000.0
2022-04-29,1000000.0,1000000.0,1000000.0
2022-05-02,1000000.0,1000000.0,1000000.0
2022-05-03,1000000.0,1000000.0,1000000.0
2022-05-04,1000000.0,1000000.0,1000000.0
2022-05-06,1000000.0,1000000.0,1000000.0
2022-05-10,1000000.0,1000000.0,1000000.0
2022-05-11,1000000.0,1000000.0,1000000.0
2022-05-12,1000000.0,1000000.0,1000000.0
2022-05-13,1000000.0,1000000.0,1000000.0
2022-05-16,1000000.0,1000000.0,1000000.0
2022-05-17,1000000.0,1000000.0,1000000.0
2022-05-18,1000000.0,1000000.0,1000000.0
2022-05-19,1000000.0,1000000.0,1000000.0
2022-05-20,1000000.0,1000000.0,1000000.0
2022-05-23,1000000.0,1000000.0,1000000.0
2022-05-24,1000000.0,1000000.0,1000000.0
2022-05-25,1000000.0,1000000.0,1000000.0
2022-05-26,1000000.0,1000000.0,1000000.0
2022-05-27,1000000.0,1000000.0,1000000.0
2022-05-30,1000000.0,1000000.0,1000000.0
2022-05-31,1000000.0,1000000.0,1000000.0
2022-06-02,1000000.0,1000000.0,1000000.0
2022-06-03,1000000.0,1000000.0,1000000.0
2022-06-07,1000000.0,1000000.0,1000000.0
2022-06-08,1000000.0,1000000.0,1000000.0
2022-06-09,1000000.0,1000000.0,1000000.0
2022-06-10,1000000.0,1000000.0,1000000.0
2022-06-13,1000000.0,1000000.0,1000000.0
2022-06-14,1000000.0,1000000.0,1000000.0
2022-06-15,1000000.0,1000000.0,1000000.0
2022-06-16,1000000.0,1000000.0,1000000.0
2022-06-17,1000000.0,1000000.0,1000000.0
2022-06-20,1000000.0,1000000.0,1000000.0
2022-06-21,1000000.0,1000000.0,1000000.0
2022-06-22,1000000.0,1000000.0,1000000.0
2022-06-23,1000000.0,1000000.0,1000000.0
2022-06-24,1000000.0,1000000.0,1000000.0
2022-06-27,1000000.0,1000000.0,1000000.0
2022-06-28,1000000.0,1000000.0,1000000.0
2022-06-29,1000000.0,1000000.0,1000000.0
2022-06-30,1000000.0,1000000.0,1000000.0
2022-07-01,1000000.0,1000000.0,1000000.0
2022-07-04,1000000.0,1000000.0,1000000.0
2022-07-05,1000000.0,1000000.0,1000000.0
2022-07-06,1000000.0,1000000.0,1000000.0
2022-07-07,1000000.0,1000000.0,1000000.0
2022-07-08,1000000.0,1000000.0,1000000.0
2022-07-11,1000000.0,1000000.0,1000000.0
2022-07-12,1000000.0,1000000.0,1000000.0
2022-07-13,1000000.0,1000000.0,1000000.0
2022-07-14,1000000.0,1000000.0,1000000.0
2022-07-15,1000000.0,1000000.0,1000000.0
2022-07-18,1000000.0,1000000.0,1000000.0
2022-07-19,1000000.0,1000000.0,1000000.0
2022-07-20,1000000.0,1000000.0,1000000.0
2022-07-21,1000000.0,1000000.0,1000000.0
2022-07-22,1000000.0,1000000.0,1000000.0
2022-07-25,1000000.0,1000000.0,1000000.0
2022-07-26,1000000.0,1000000.0,1000000.0
2022-07-27,1000000.0,1000000.0,1000000.0
2022-07-28,1000000.0,1000000.0,1000000.0
2022-07-29,1000000.0,1000000.0,1000000.0
2022-08-01,1000000.0,1000000.0,1000000.0
2022-08-02,1000000.0,1000000.0,1000000.0
2022-08-03,1000000.0,1000000.0,1000000.0
2022-08-04,1000000.0,1000000.0,1000000.0
2022-08-05,1000000.0,1000000.0,1000000.0
2022-08-08,1000000.0,1000000.0,1000000.0
2022-08-09,1000000.0,1000000.0,1000000.0
2022-08-10,1000000.0,1000000.0,1000000.0
2022-08-11,1000000.0,1000000.0,1000000.0
2022-08-12,1000000.0,1000000.0,1000000.0
2022-08-16,1000000.0,1000000.0,1000000.0
2022-08-17,1000000.0,1000000.0,1000000.0
2022-08-18,1017561.8035466858,1000000.0,1008780.9017733429
2022-08-19,1007634.4275888518,1000000.0,1003817.2137944258
2022-08-22,992743.2587817608,1000000.0,996371.6293908805
2022-08-23,977852.0899746699,1000000.0,988926.0449873349
2022-08-24,976197.515662771,1000000.0,988098.7578313855
2022-08-25,987779.6057596239,1000000.0,993889.802879812
2022-08-26,992743.2587817608,1000000.0,996371.6293908805
2022-08-29,969579.1485016148,1000000.0,984789.5742508074
2022-08-30,972888.3670389729,1000000.0,986444.1835194865
2022-08-31,987779.6057596239,1000000.0,993889.802879812
2022-09-01,966269.9998778166,1000000.0,983134.9999389083
2022-09-02,951378.8310707257,1000000.0,975689.4155353629
2022-09-05,944760.6736502497,1000000.0,972380.3368251249
2022-09-06,944760.6736502497,1000000.0,972380.3368251249
2022-09-07,942446.0099998066,1000000.0,971223.0049999033
2022-09-08,942446.0099998066,1000000.0,971223.0049999033
2022-09-13,942446.0099998066,1000000.0,971223.0049999033
2022-09-14,942446.0099998066,1000000.0,971223.0049999033
2022-09-15,942446.0099998066,1000000.0,971223.0049999033
2022-09-16,942446.0099998066,1000000.0,971223.0049999033
2022-09-19,942446.0099998066,1000000.0,971223.0049999033
2022-09-20,942446.0099998066,1000000.0,971223.0049999033
2022-09-21,942446.0099998066,1000000.0,971223.0049999033
2022-09-22,942446.0099998066,1000000.0,971223.0049999033
2022-09-23,942446.0099998066,1000000.0,971223.0049999033
2022-09-26,942446.0099998066,1000000.0,971223.0049999033
2022-09-27,942446.0099998066,1000000.0,971223.0049999033
2022-09-28,942446.0099998066,1000000.0,971223.0049999033
2022-09-29,942446.0099998066,1000000.0,971223.0049999033
2022-09-30,942446.0099998066,1000000.0,971223.0049999033
2022-10-04,942446.0099998066,1000000.0,971223.0049999033
2022-10-05,942446.0099998066,1000000.0,971223.0049999033
2022-10-06,942446.0099998066,1000000.0,971223.0049999033
2022-10-07,942446.0099998066,1000000.0,971223.0049999033
2022-10-11,942446.0099998066,1000000.0,971223.0049999033
2022-10-12,942446.0099998066,1000000.0,971223.0049999033
2022-10-13,942446.0099998066,1000000.0,971223.0049999033
2022-10-14,942446.0099998066,1000000.0,971223.0049999033
2022-10-17,942446.0099998066,1000000.0,971223.0049999033
2022-10-18,942446.0099998066,1000000.0,971223.0049999033
2022-10-19,942446.0099998066,1000000.0,971223.0049999033
2022-10-20,942446.0099998066,1000000.0,971223.0049999033
2022-10-21,942446.0099998066,1000000.0,971223.0049999033
2022-10-24,942446.0099998066,1000000.0,971223.0049999033
2022-10-25,942446.0099998066,1000000.0,971223.0049999033
2022-10-26,942446.0099998066,1000000.0,971223.0049999033
2022-10-27,942446.0099998066,1000000.0,971223.0049999033
2022-10-28,942446.0099998066,1000000.0,971223.0049999033
2022-10-31,942446.0099998066,1000000.0,971223.0049999033
2022-11-01,942446.0099998066,1000000.0,971223.0049999033
2022-11-02,942446.0099998066,1000000.0,971223.0049999033
2022-11-03,942446.0099998066,1000000.0,971223.0049999033
2022-11-04,945017.348708053,1000000.0,972508.6743540266
2022-11-07,957745.0131232451,1000000.0,978872.5065616225
2022-11-08,983199.8745918102,1000000.0,991599.9372959051
2022-11-09,986381.7406211275,1000000.0,993190.8703105638
2022-11-10,960926.6120886658,1000000.0,980463.3060443329
2022-11-11,1000700.1711360428,1000000.0,1000350.0855680214
2022-11-14,984790.8409894558,1000000.0,992395.4204947279
2022-11-15,992745.6062117105,1000000.0,996372.8031058552
2022-11-16,997518.3718726996,1000000.0,998759.1859363498
2022-11-17,976835.9422352528,1000000.0,988417.9711176264
2022-11-18,983199.8745918102,1000000.0,991599.9372959051
2022-11-21,976835.9422352529,1000000.0,988417.9711176264
2022-11-22,964108.6116499316,1000000.0,982054.3058249658
2022-11-23,970472.4104745407,1000000.0,985236.2052372703
2022-11-24,976835.9422352532,1000000.0,988417.9711176266
2022-11-25,970472.4104745408,1000000.0,985236.2052372703
2022-11-28,956153.8464276772,1000000.0,978076.9232138386
2022-11-29,964108.6116499319,1000000.0,982054.3058249659
2022-11-30,989563.4731184971,1000000.0,994781.7365592485
2022-12-01,995927.2719431061,1000000.0,997963.635971553
2022-12-02,960926.6120886664,1000000.0,980463.3060443331
2022-12-05,959335.7124569948,1000000.0,979667.8562284973
2022-12-06,941835.4826787361,1000000.0,970917.741339368
2022-12-07,937062.5834857988,1000000.0,968531.2917428995
2022-12-08,941835.482678736,1000000.0,970917.741339368
2022-12-09,960926.6120886664,1000000.0,980463.3060443331
2022-12-12,946608.3818716734,1000000.0,973304.1909358366
2022-12-13,949790.2479009909,1000000.0,974895.1239504954
2022-12-14,962517.6452522863,1000000.0,981258.8226261432
2022-12-15,943426.3155444335,1000000.0,971713.1577722167
2022-12-16,946608.3818716734,1000000.0,973304.1909358366
2022-12-19,946608.3818716734,1000000.0,973304.1909358366
2022-12-20,932289.951356758,1000000.0,966144.975678379
2022-12-21,922744.1529708833,1000000.0,961372.0764854416
2022-12-22,940244.5162810902,1000000.0,970122.2581405451
2022-12-23,924335.0526025549,1000000.0,962167.5263012775
2022-12-26,921153.3201051857,1000000.0,960576.6600525929
2022-12-27,924335.0526025549,1000000.0,962167.5263012775
2022-12-28,906101.0647685606,1000000.0,953050.5323842803
2022-12-29,885289.442971164,1000000.0,942644.721485582
2023-01-02,883120.4838358847,1000000.0,941560.2419179424
2023-01-03,883120.4838358847,1000000.0,941560.2419179424
2023-01-04,883120.4838358847,1000000.0,941560.2419179424
2023-01-05,883120.4838358847,1000000.0,941560.2419179424
2023-01-06,883120.4838358847,1000000.0,941560.2419179424
2023-01-09,883120.4838358847,1000000.0,941560.2419179424
2023-01-10,883120.4838358847,1000000.0,941560.2419179424
2023-01-11,883120.4838358847,1000000.0,941560.2419179424
