code,name,status,rows
448280,에코아이,PASS,512.0
053270,구영테크,PASS,974.0
131370,알서포트,PASS,974.0
036670,삼양케이씨아이,PASS,974.0
000230,일동홀딩스,PASS,974.0
060540,에스에이티,PASS,974.0
011150,CJ씨푸드,PASS,974.0
058850,KTcs,PASS,974.0
071970,HD현대마린엔진,PASS,974.0
066410,버킷스튜디오,PASS,974.0
044960,이글벳,PASS,974.0
001740,SK네트웍스,PASS,974.0
014470,부방,PASS,974.0
002880,디와이에이,PASS,974.0
388720,유일로보틱스,PASS,926.0
241820,피씨엘,PASS,974.0
145990,삼양사,PASS,974.0
214330,금호에이치티,PASS,974.0
032500,케이엠더블유,PASS,974.0
034810,해성산업,PASS,974.0
039830,오로라,PASS,974.0
319400,현대무벡스,PASS,974.0
088280,쏘닉스,PASS,522.0
115160,휴맥스,PASS,974.0
081000,일진다이아,PASS,974.0
036890,진성티이씨,PASS,974.0
020000,한섬,PASS,974.0
002820,SUN&L,PASS,974.0
036170,에이치엠넥스,PASS,974.0
067900,와이엔텍,PASS,974.0
298830,슈어소프트테크,PASS,647.0
018880,한온시스템,PASS,974.0
065530,와이어블,PASS,974.0
127980,화인써키트,PASS,697.0
189330,씨이랩,PASS,974.0
352090,스톰테크,PASS,513.0
014680,한솔케미칼,PASS,974.0
048770,TPC로보틱스,PASS,974.0
002420,세기상사,PASS,974.0
004540,깨끗한나라,PASS,974.0
054940,엑사이엔씨,PASS,974.0
031440,신세계푸드,PASS,974.0
336060,웨이버스,PASS,974.0
025540,한국단자,PASS,974.0
309930,조이웍스앤코,PASS,974.0
023160,태광,PASS,974.0
204840,지엘팜텍,PASS,974.0
019770,서연탑메탈,PASS,974.0
259960,크래프톤,PASS,974.0
267260,HD현대일렉트릭,PASS,974.0
106520,노블엠앤비,PASS,974.0
002070,비비안,PASS,974.0
069330,유아이디,PASS,974.0
284740,쿠쿠홈시스,PASS,974.0
028300,HLB,PASS,974.0
018310,삼목에스폼,PASS,974.0
168330,내츄럴엔도텍,PASS,974.0
003680,한성기업,PASS,974.0
079950,인베니아,PASS,974.0
198080,캐프,PASS,974.0
005420,코스모화학,PASS,974.0
104620,노랑풍선,PASS,974.0
004700,조광피혁,PASS,974.0
002210,동성제약,PASS,974.0
294630,서남,PASS,974.0
083650,비에이치아이,PASS,974.0
187420,HLB제넥스,PASS,974.0
338840,와이바이오로직스,PASS,502.0
088130,동아엘텍,PASS,974.0
113810,디젠스,PASS,974.0
155660,DSR,PASS,974.0
017180,명문제약,PASS,974.0
454910,두산로보틱스,PASS,544.0
014790,HL D&I,PASS,974.0
213500,한솔제지,PASS,974.0
002840,미원상사,PASS,974.0
010040,한국내화,PASS,974.0
049080,기가레인,PASS,974.0
032640,LG유플러스,PASS,974.0
016360,삼성증권,PASS,974.0
122870,와이지엔터테인먼트,PASS,974.0
046070,코다코,PASS,974.0
246690,TS인베스트먼트,PASS,974.0
290520,신도기연,PASS,974.0
439960,코스모로보틱스,NO_DATA,
002450,삼익악기,PASS,974.0
010100,한국무브넥스,PASS,974.0
033130,디지틀조선,PASS,974.0
237820,플레이디,PASS,974.0
464280,티디에스팜,PASS,328.0
282720,금양그린파워,PASS,680.0
125210,아모그린텍,PASS,974.0
020120,키다리스튜디오,PASS,974.0
092190,서울바이오시스,PASS,974.0
230240,에치에프알,PASS,974.0
256150,한독크린텍,PASS,974.0
364950,에이아이코리아,PASS,161.0
373160,데이원컴퍼니,PASS,225.0
080720,한국유니온제약,PASS,974.0
060570,드림어스컴퍼니,PASS,974.0
445180,퓨릿,PASS,536.0
226950,올릭스,PASS,974.0
034590,인천도시가스,PASS,974.0
084440,유비온,PASS,974.0
483650,달바글로벌,PASS,148.0
008600,윌비스,PASS,974.0
377330,이지트로닉스,PASS,954.0
013310,아진산업,PASS,974.0
003030,세아제강지주,PASS,974.0
054950,제이브이엠,PASS,974.0
389680,유디엠텍,PASS,243.0
263800,데이타솔루션,PASS,974.0
490470,세미파이브,INSUFFICIENT_DATA,2.0
039570,HDC랩스,PASS,974.0
192650,드림텍,PASS,974.0
009440,KC그린홀딩스,PASS,974.0
000990,DB하이텍,PASS,974.0
402490,그린리소스,PASS,509.0
