Date,Close,ma_short,ma_long,signal,position,ret,turnover,sell_turnover,cost,strategy_ret,buyhold_ret,equity,buyhold_equity
2022-01-04,71940.3359375,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,1000000.0
2022-01-05,70752.0,,,0,0.0,-0.016518354022316495,0.0,0.0,0.0,-0.0,-0.016518354022316495,1000000.0,983481.6459776835
2022-01-06,70294.953125,,,0,0.0,-0.006459843891338801,0.0,0.0,0.0,-0.0,-0.006459843891338801,1000000.0,977128.5080746708
2022-01-07,71574.6796875,,,0,0.0,0.01820509873908538,0.0,0.0,0.0,0.0,0.01820509873908538,1000000.0,994917.2290449454
2022-01-10,71300.4765625,,,0,0.0,-0.003831007364576311,0.0,0.0,0.0,-0.0,-0.003831007364576311,1000000.0,991105.6938133304
2022-01-11,72123.15625,,,0,0.0,0.011538207416872837,0.0,0.0,0.0,0.0,0.011538207416872837,1000000.0,1002541.2768805921
2022-01-12,72123.15625,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,1002541.2768805921
2022-01-13,71209.0390625,,,0,0.0,-0.012674392456306305,0.0,0.0,0.0,-0.0,-0.012674392456306305,1000000.0,989834.6752837611
2022-01-14,70660.59375,,,0,0.0,-0.007701905821515642,0.0,0.0,0.0,-0.0,-0.007701905821515642,1000000.0,982211.061835855
2022-01-17,70843.40625,,,0,0.0,0.0025871916764073077,0.0,0.0,0.0,0.0,0.0025871916764073077,1000000.0,984752.230119512
2022-01-18,70386.3515625,,,0,0.0,-0.006451619306489853,0.0,0.0,0.0,-0.0,-0.006451619306489853,1000000.0,978398.983619564
2022-01-19,69746.46875,,,0,0.0,-0.009091006967903548,0.0,0.0,0.0,-0.0,-0.009091006967903548,1000000.0,969504.3516420888
2022-01-20,69929.3046875,,,0,0.0,0.0026214364795349443,0.0,0.0,0.0,0.0,0.0026214364795349443,1000000.0,972045.8457165513
2022-01-21,69106.6015625,,,0,0.0,-0.011764783429157433,0.0,0.0,0.0,-0.0,-0.011764783429157433,1000000.0,960609.9368584838
2022-01-24,68649.546875,,,0,0.0,-0.0066137630438480866,0.0,0.0,0.0,-0.0,-0.0066137630438480866,1000000.0,954256.690358536
2022-01-25,67644.0390625,,,0,0.0,-0.014646969401427623,0.0,0.0,0.0,-0.0,-0.014646969401427623,1000000.0,940279.721813747
2022-01-26,67644.0390625,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,940279.721813747
2022-01-27,65175.9375,,,0,0.0,-0.03648660837978035,0.0,0.0,0.0,-0.0,-0.03648660837978035,1000000.0,905972.10383648
2022-01-28,67004.140625,,,0,0.0,0.02805027737422261,0.0,0.0,0.0,0.0,0.02805027737422261,1000000.0,931384.8726424013
2022-02-03,67004.140625,69755.618359375,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,931384.8726424013
2022-02-04,67644.0390625,69540.803515625,,0,0.0,0.009550132745993922,0.0,0.0,0.0,0.0,0.009550132745993922,1000000.0,940279.7218137467
2022-02-07,66729.921875,69339.699609375,,0,0.0,-0.013513639932934751,0.0,0.0,0.0,-0.0,-0.013513639932934751,1000000.0,927573.1202169157
2022-02-08,66729.921875,69161.448046875,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,927573.1202169157
2022-02-09,66729.921875,68919.21015625,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,927573.1202169157
2022-02-10,68923.7734375,68800.375,,0,0.0,0.03287657921448761,0.0,0.0,0.0,0.0,0.03287657921448761,1000000.0,958068.5513809565
2022-02-11,68466.7265625,68617.553515625,,0,0.0,-0.006631193450463813,0.0,0.0,0.0,-0.0,-0.006631193450463813,1000000.0,951715.4134779439
2022-02-14,67369.796875,68379.885546875,,0,0.0,-0.016021354350841732,0.0,0.0,0.0,-0.0,-0.016021354350841732,1000000.0,936467.6435974558
2022-02-15,67369.796875,68187.9234375,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,936467.6435974558
2022-02-16,68375.3125,68073.659375,,0,0.0,0.014925317748332612,0.0,0.0,0.0,0.0,0.014925317748332612,1000000.0,950444.7207391802
2022-02-17,68558.1484375,67959.396484375,,0,0.0,0.0026740051462288417,0.0,0.0,0.0,0.0,0.0026740051462288417,1000000.0,952986.2148136428
2022-02-18,67918.2578125,67835.991796875,,0,0.0,-0.0093335458962015,0.0,0.0,0.0,-0.0,-0.0093335458962015,1000000.0,944091.4742392323
2022-02-21,67918.2578125,67744.58125,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,944091.4742392323
2022-02-22,67918.2578125,67644.02890625,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,944091.4742392323
2022-02-23,67918.2578125,67584.61171875,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,944091.4742392323
2022-02-24,65358.7578125,67420.072265625,,0,0.0,-0.03768500668945218,0.0,0.0,0.0,-0.0,-0.03768500668945218,1000000.0,908513.3807170719
2022-02-25,65724.3828125,67324.089453125,,0,0.0,0.005594124065957606,0.0,0.0,0.0,0.0,0.005594124065957606,1000000.0,913595.7172843858
2022-02-28,65724.3828125,67228.106640625,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,913595.7172843858
2022-03-02,65541.578125,67246.388671875,,0,0.0,-0.0027813830982864607,0.0,0.0,0.0,-0.0,-0.0027813830982864607,1000000.0,911054.6575976642
2022-03-03,66638.5234375,67228.1078125,,0,0.0,0.01673663259081004,0.0,0.0,0.0,0.0,0.01673663259081004,1000000.0,926302.6446720226
2022-03-04,66638.5234375,67209.826953125,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,926302.6446720226
2022-03-07,64078.9921875,67031.574609375,,0,0.0,-0.03840918312664254,0.0,0.0,0.0,-0.0,-0.03840918312664254,1000000.0,890724.1167621214
2022-03-08,63530.52734375,66871.6048828125,,0,0.0,-0.008559198967192705,0.0,0.0,0.0,-0.0,-0.008559198967192705,1000000.0,883100.2318218774
2022-03-10,63530.52734375,66711.63515625,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,883100.2318218774
2022-03-11,63987.609375,66574.51953125,,0,0.0,0.007194683412225178,0.0,0.0,0.0,0.0,0.007194683412225178,1000000.0,889453.8584110986
2022-03-14,64170.42578125,66336.8521484375,,0,0.0,0.002857059484416835,0.0,0.0,0.0,0.0,0.002857059484416835,1000000.0,891995.0809932231
2022-03-15,64170.42578125,66122.037109375,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,891995.0809932231
2022-03-16,64353.23046875,65971.2087890625,,0,0.0,0.0028487373314798337,0.0,0.0,0.0,0.0,0.0028487373314798337,1000000.0,894536.1406799449
2022-03-17,64353.23046875,65820.38046875,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,894536.1406799449
2022-03-18,64627.46484375,65632.9880859375,,0,0.0,0.004261392520662488,0.0,0.0,0.0,0.0,0.004261392520662488,1000000.0,898348.1102993008
2022-03-21,63896.18359375,65399.88984375,,0,0.0,-0.01131533244833327,0.0,0.0,0.0,-0.0,-0.01131533244833327,1000000.0,888183.0027769322
2022-03-22,64261.82421875,65217.0681640625,,0,0.0,0.005722417278076097,0.0,0.0,0.0,0.0,0.005722417278076097,1000000.0,893265.5565381164
2022-03-23,64444.64453125,65043.3875,,0,0.0,0.002844928769492716,0.0,0.0,0.0,0.0,0.002844928769492716,1000000.0,895806.8334187088
2022-03-24,63804.76953125,64837.7130859375,,0,0.0,-0.009929063999875365,0.0,0.0,0.0,-0.0,-0.009929063999875365,1000000.0,886912.3100381686
2022-03-25,63804.76953125,64632.038671875,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,886912.3100381686
2022-03-28,63713.35546875,64549.7685546875,,0,0.0,-0.0014327151899706791,0.0,0.0,0.0,-0.0,-0.0014327151899706791,1000000.0,885641.6172994049
2022-03-29,64170.42578125,64472.070703125,,0,0.0,0.007173854039506322,0.0,0.0,0.0,0.0,0.007173854039506322,1000000.0,891995.0809932232
2022-03-30,64226.45703125,64397.1744140625,,0,0.0,0.000873163132671273,0.0,0.0,0.0,0.0,0.000873163132671273,1000000.0,892773.9382124706
2022-03-31,63950.81640625,64317.636328125,,0,0.0,-0.004291699055824938,0.0,0.0,0.0,-0.0,-0.004291699055824938,1000000.0,888942.4211447791
2022-04-01,63491.3984375,64160.280078125,,0,0.0,-0.007183926563681831,0.0,0.0,0.0,-0.0,-0.007183926563681831,1000000.0,882556.3240719334
2022-04-04,63675.15234375,64012.1115234375,66992.5189453125,0,0.0,0.0028941543385736512,0.0,0.0,0.0,0.0,0.0028941543385736512,1000000.0,885110.5782862818
2022-04-05,63583.27734375,63987.32578125,66853.23463541667,0,0.0,-0.0014428705172783163,0.0,0.0,0.0,-0.0,-0.0014428705172783163,1000000.0,883833.4783283414
2022-04-06,62940.11328125,63957.805078125,66723.0365234375,0,0.0,-0.010115302157560513,0.0,0.0,0.0,-0.0,-0.010115302157560513,1000000.0,874893.2356380825
2022-04-07,62480.68359375,63905.312890625,66592.79869791666,0,0.0,-0.007299473476430229,0.0,0.0,0.0,-0.0,-0.007299473476430229,1000000.0,868506.9756698342
2022-04-08,62296.90625,63820.777734375,66438.169140625,0,0.0,-0.0029413465599211763,0.0,0.0,0.0,-0.0,-0.0029413465599211763,1000000.0,865952.3956646802
2022-04-11,62388.796875,63731.6962890625,66289.64114583333,0,0.0,0.001475043152724842,0.0,0.0,0.0,0.0,0.001475043152724842,1000000.0,867229.7128164911
2022-04-12,61561.8515625,63601.267578125,66113.61940104167,0,0.0,-0.01325470843999188,0.0,0.0,0.0,-0.0,-0.01325470843999188,1000000.0,855734.8358226105
2022-04-13,63123.859375,63539.7990234375,65963.63111979167,0,0.0,0.025372982989541715,0.0,0.0,0.0,0.0,0.025372982989541715,1000000.0,877447.381255496
2022-04-14,62021.2578125,63423.200390625,65810.50143229167,0,0.0,-0.017467271067026724,0.0,0.0,0.0,-0.0,-0.017467271067026724,1000000.0,862120.7700000533
2022-04-15,61194.31640625,63251.54296875,65652.73014322917,0,0.0,-0.013333193092438966,0.0,0.0,0.0,-0.0,-0.013333193092438966,1000000.0,850625.9473046404
2022-04-18,61286.19140625,63121.043359375,65493.44322916667,0,0.0,0.0015013649207236135,0.0,0.0,0.0,0.0,0.0015013649207236135,1000000.0,851903.047262581
2022-04-19,61837.49609375,62999.826953125,65350.9623046875,0,0.0,0.008995577549362643,0.0,0.0,0.0,0.0,0.008995577549362643,1000000.0,859566.4071887699
2022-04-20,61929.375,62874.0634765625,65220.677408854164,0,0.0,0.00148581220220656,0.0,0.0,0.0,0.0,0.00148581220220656,1000000.0,860843.5614451778
2022-04-21,62205.0234375,62794.076171875,65091.93938802083,0,0.0,0.004451012746374383,0.0,0.0,0.0,0.0,0.004451012746374383,1000000.0,864675.1871098046
2022-04-22,61561.8515625,62681.9302734375,64966.1935546875,0,0.0,-0.010339548792972053,0.0,0.0,0.0,-0.0,-0.010339548792972053,1000000.0,855734.8358226105
2022-04-25,60918.66796875,62542.1958984375,64837.34557291667,0,0.0,-0.010447762330491606,0.0,0.0,0.0,-0.0,-0.010447762330491606,1000000.0,846794.3216400137
2022-04-26,60734.89453125,62370.4193359375,64722.1931640625,0,0.0,-0.0030167015075620585,0.0,0.0,0.0,-0.0,-0.0030167015075620585,1000000.0,844239.7959333272
2022-04-27,59724.1796875,62145.30546875,64590.1955078125,0,0.0,-0.016641419262364177,0.0,0.0,0.0,-0.0,-0.016641419262364177,1000000.0,830190.447531228
2022-04-28,59540.421875,61924.7857421875,64496.270247395834,0,0.0,-0.0030767741551493977,0.0,0.0,0.0,-0.0,-0.0030767741551493977,1000000.0,827636.139018412
2022-04-29,61929.375,61846.6845703125,64411.6908203125,0,0.0,0.040123214612341807,0.0,0.0,0.0,0.0,0.040123214612341807,1000000.0,860843.5614451776
2022-05-02,61837.49609375,61754.8017578125,64325.580078125,0,0.0,-0.0014836078395753516,0.0,0.0,0.0,-0.0,-0.0014836078395753516,1000000.0,859566.4071887695
2022-05-03,62021.2578125,61676.70078125,64231.86705729167,0,0.0,0.002971687574015114,0.0,0.0,0.0,0.0,0.002971687574015114,1000000.0,862120.7700000531
2022-05-04,62388.796875,61649.1349609375,64159.514973958336,0,0.0,0.005926017553709251,0.0,0.0,0.0,0.0,0.005926017553709251,1000000.0,867229.7128164909
2022-05-06,61102.42578125,61580.2220703125,64065.723372395834,0,0.0,-0.020618623185302498,0.0,0.0,0.0,-0.0,-0.020618623185302498,1000000.0,849348.6301528296
2022-05-10,60367.3671875,61483.7451171875,63959.68079427083,0,0.0,-0.012029941272406308,0.0,0.0,0.0,-0.0,-0.012029941272406308,1000000.0,839131.0160122924
2022-05-11,60367.3671875,61382.6736328125,63817.0740234375,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,839131.0160122924
2022-05-12,59632.29296875,61286.195703125,63669.83346354167,0,0.0,-0.012176681756997487,0.0,0.0,0.0,-0.0,-0.012176681756997487,1000000.0,828913.1846778847
2022-05-13,61102.42578125,61185.1240234375,63565.377278645836,0,0.0,0.024653300071329154,0.0,0.0,0.0,0.0,0.024653300071329154,1000000.0,849348.6301528297
2022-05-16,60918.66796875,61129.99453125,63457.85846354167,0,0.0,-0.0030073734414057807,0.0,0.0,0.0,-0.0,-0.0030073734414057807,1000000.0,846794.3216400137
2022-05-17,62113.13671875,61175.935546875,63353.4888671875,0,0.0,0.019607597963447576,0.0,0.0,0.0,0.0,0.019607597963447576,1000000.0,863397.9242564613
2022-05-18,62572.5703125,61240.2544921875,63253.729231770834,0,0.0,0.0073967218211878905,0.0,0.0,0.0,0.0,0.0073967218211878905,1000000.0,869784.2385231775
2022-05-19,62021.2578125,61249.442578125,63155.4458984375,0,0.0,-0.008810769595153811,0.0,0.0,0.0,-0.0,-0.008810769595153811,1000000.0,862120.7700000533
2022-05-20,62480.68359375,61277.0080078125,63064.819661458336,0,0.0,0.007407553433355307,0.0,0.0,0.0,0.0,0.007407553433355307,1000000.0,868506.9756698342
2022-05-23,62388.796875,61286.1966796875,62972.66197916667,0,0.0,-0.0014706420202994508,0.0,0.0,0.0,-0.0,-0.0014706420202994508,1000000.0,867229.7128164909
2022-05-24,61102.42578125,61263.225390625,62859.064778645836,0,0.0,-0.020618623185302498,0.0,0.0,0.0,-0.0,-0.020618623185302498,1000000.0,849348.6301528296
2022-05-25,61010.55078125,61267.81953125,62786.59466145833,0,0.0,-0.0015036227911624511,0.0,0.0,0.0,-0.0,-0.0015036227911624511,1000000.0,848071.5301948892
