Date,Open,High,Low,Close,Volume,code,name,ret_cc,mom_1d,mom_3d,mom_5d,mom_10d,mom_20d,vol_10d,vol_20d,dollar_volume,oc_ret,oo_ret,cc_next_ret,situation,market_mom_20d,market_vol_20d,score,rank,trade_return
2024-02-13,13468.791570350662,14095.702596170622,13292.4728443388,14036.9296875,543476,000490,대동,0.04598537755723564,-0.0385965103754331,-0.11211920466901626,-0.10749184821524549,-0.09511228316219111,-0.17717717178285497,0.02685035435783501,0.02207968305719069,11131749508.68164,0.04218181818181832,0.039272695785058875,0.022330743624379146,down_low_vol,-0.03116131051733395,0.008475418535037317,4.868360109011557,2.0,0.019230743624379147
2024-04-22,35908.62774980488,36607.2421875,35862.05449333716,36607.2421875,12543,000670,영풍,0.028795774446109146,-0.02675145012623492,-0.05093160130402308,-0.13866956741192737,-0.17761033126260162,-0.20664582850504787,0.018194571043085757,0.01638966553755219,1035204968.1914062,0.019455336543706236,0.016861295965240775,-0.0025445357785461864,down_low_vol,-0.040446462769794356,0.008282130572824642,8.460792997526768,1.0,-0.005644535778546187
2023-07-10,56841.04118739821,59185.96862912256,56747.24408972923,57591.41796875,250264,001040,CJ,0.013201288379112608,-0.024154598119248694,-0.07762557396011471,-0.11273795084412197,-0.15598878604155197,-0.284533615836043,0.013453864469658374,0.014006687525345828,8648933098.125,0.013201320132013139,0.026402657918289885,0.021172656000788992,down_low_vol,-0.030267804837223355,0.0072656617684712385,8.048865989201001,1.0,0.018072656000788993
2024-04-17,92900.0,94700.0,90400.0,91700.0,481121,001570,금양,-0.021344717182497308,-0.04776422764227639,-0.10591603053435117,-0.14585232452142205,-0.2072758037225042,-0.2797847809377402,0.01725190157424407,0.020000254709360902,52128495800.0,-0.012917115177610294,-0.00753498385360607,0.0588876772082878,down_low_vol,-0.04171861421962242,0.00728738128557323,7.292523352372981,1.0,0.055787677208287804
2024-04-18,92200.0,97600.0,92200.0,97100.0,428607,001570,금양,0.0588876772082878,-0.021344717182497308,-0.09207920792079205,-0.15327793167128345,-0.19490781387181744,-0.2785208497246263,0.016581431792692593,0.01997244148652328,44118795700.0,0.05314533622559647,0.07700650759219085,-0.02780638516992795,down_low_vol,-0.03352665065269578,0.007132356628364866,7.674471434787287,1.0,-0.030906385169927948
2024-05-02,4475.432147387014,4519.919544478336,4435.393490004824,4466.53466796875,724125,001740,SK네트웍스,-0.005940581793626221,-0.02697500052340862,-0.007858423101372525,-0.09172671563232682,-0.05783580485004014,-0.13230249574101527,0.03095888428508822,0.02333664605732099,3562616823.385742,-0.001988071570576455,0.003976134866004788,0.003984055469806291,down_low_vol,-0.021441047108307965,0.009086972854635618,3.9305869149757715,3.0,0.0008840554698062914
2024-02-01,34728.9140625,34728.9140625,33283.1328125,33403.61328125,16114,002070,비비안,-0.04643169254673796,-0.025963133341233346,-0.03884290877287755,-0.04515595348158241,-0.04905962772793104,-0.0906958702492322,0.0095821124054554,0.008439415764925393,227380516.01953125,-0.03816130786194227,-0.03816130786194227,0.009918930692027317,down_low_vol,-0.037843418839974774,0.008153803570238219,5.350601835408165,3.0,0.0068189306920273165
2024-02-02,33403.61328125,34006.0234375,33313.25390625,33734.94140625,4035,002070,비비안,0.009918930692027317,-0.04643169254673796,-0.07583336107204874,-0.0879934977079655,-0.08649098533014332,-0.12882960143049482,0.016284182538468084,0.012580212821190808,538265824.4140625,0.009918930692027317,0.009918930692027317,0.007142770298553369,down_low_vol,-0.028023567229987,0.008146661734042118,6.99459531874885,1.0,0.004042770298553369
2024-02-06,33975.90234375,33975.90234375,32981.92578125,33283.1328125,4023,002070,비비안,-0.02039002597314199,0.007142770298553369,-0.030094636189770152,-0.06000003026041678,-0.07767783226962366,-0.11041009173345451,0.016735280694351984,0.013351091174499202,139267223.70703125,-0.02039002597314199,-0.02039002597314199,0.010859714274380261,down_low_vol,-0.023527154558160346,0.008782353445048937,4.494016966569579,3.0,0.007759714274380261
2024-02-07,33283.1328125,33734.94140625,33222.890625,33644.578125,2142,002070,비비안,0.010859714274380261,-0.02039002597314199,-0.003606809471046857,-0.07453935684341062,-0.09053500094730582,-0.1095890682951487,0.017175308055938022,0.013297150369071734,133898043.3046875,0.010859714274380261,0.010859714274380261,0.005371523922177213,down_low_vol,-0.037612896445541,0.008489143643079093,5.605663978711115,2.0,0.0022715239221772127
