status,rows,first_date,last_date,final_value_krw,total_return_pct,cagr_pct,max_drawdown_pct,sharpe,trades,profit_factor,buyhold_return_pct,invested_days_pct,outperformed_buyhold,code,name,market,yfinance_symbol,violations
PASS,428.0,2024-03-26,2025-12-30,953231.06,-4.68,-2.68,-28.12,0.079,9.0,1.024,-52.85,30.84,True,455900,엔젤로보틱스,KOSDAQ,455900.KQ,
PASS,974.0,2022-01-04,2025-12-30,787996.34,-21.2,-5.8,-45.15,-0.211,19.0,0.95,-32.16,52.05,True,005750,대림바스,KOSPI,005750.KS,
PASS,625.0,2023-06-07,2025-12-30,628017.62,-37.2,-16.58,-39.15,-1.078,10.0,0.678,-71.37,23.52,True,405920,나라셀라,KOSDAQ,405920.KQ,
PASS,974.0,2022-01-04,2025-12-30,1674360.68,67.44,13.8,-40.05,0.562,21.0,1.143,121.4,55.34,False,001040,CJ,KOSPI,001040.KS,
PASS,974.0,2022-01-04,2025-12-30,560153.88,-43.98,-13.53,-44.47,-0.517,14.0,0.787,-48.4,20.43,True,036690,코맥스,KOSDAQ,036690.KQ,
PASS,974.0,2022-01-04,2025-12-30,272915.22,-72.71,-27.8,-89.05,-0.389,20.0,0.888,-59.8,44.46,False,072770,멤레이비티,KOSDAQ,072770.KQ,
PASS,974.0,2022-01-04,2025-12-30,2105514.7,110.55,20.54,-38.78,0.647,22.0,1.185,58.95,47.54,True,067310,하나마이크론,KOSDAQ,067310.KQ,
PASS,974.0,2022-01-04,2025-12-30,982351.39,-1.76,-0.45,-45.97,0.148,17.0,1.049,-49.45,34.6,True,263600,덕우전자,KOSDAQ,263600.KQ,
PASS,974.0,2022-01-04,2025-12-30,861978.74,-13.8,-3.66,-56.3,0.156,21.0,1.046,-20.28,51.33,True,217730,강스템바이오텍,KOSDAQ,217730.KQ,
PASS,974.0,2022-01-04,2025-12-30,388998.36,-61.1,-21.09,-64.8,-0.502,21.0,0.848,-56.58,37.47,False,039560,다산네트웍스,KOSDAQ,039560.KQ,
PASS,974.0,2022-01-04,2025-12-30,1876470.94,87.65,17.1,-70.38,0.571,21.0,1.165,20.99,47.54,True,140410,메지온,KOSDAQ,140410.KQ,
PASS,974.0,2022-01-04,2025-12-30,573584.01,-42.64,-13.02,-59.3,-0.356,19.0,0.89,-59.21,36.04,True,040160,누리플렉스,KOSDAQ,040160.KQ,
PASS,974.0,2022-01-04,2025-12-30,646813.45,-35.32,-10.35,-70.56,-0.062,16.0,0.983,-43.41,39.22,True,045970,코아시아,KOSDAQ,045970.KQ,
PASS,974.0,2022-01-04,2025-12-30,1273622.22,27.36,6.26,-31.5,0.347,19.0,1.089,257.74,59.45,False,092460,한라IMS,KOSDAQ,092460.KQ,
PASS,974.0,2022-01-04,2025-12-30,632782.73,-36.72,-10.85,-43.15,-0.249,17.0,0.93,-79.69,41.68,True,238090,앤디포스,KOSDAQ,238090.KQ,
PASS,974.0,2022-01-04,2025-12-30,275482.15,-72.45,-27.63,-73.28,-0.975,21.0,0.777,-30.8,48.97,False,378850,화승알앤에이,KOSPI,378850.KS,
PASS,974.0,2022-01-04,2025-12-30,615735.1,-38.43,-11.45,-52.61,-0.36,20.0,0.885,-65.97,30.8,True,154030,아시아종묘,KOSDAQ,154030.KQ,
PASS,974.0,2022-01-04,2025-12-30,636525.91,-36.35,-10.71,-53.77,-0.29,19.0,0.914,-29.45,35.73,False,120110,코오롱인더,KOSPI,120110.KS,
PASS,974.0,2022-01-04,2025-12-30,776845.5,-22.32,-6.14,-33.54,-0.328,19.0,0.923,3.49,50.21,False,234080,JW생명과학,KOSPI,234080.KS,
PASS,974.0,2022-01-04,2025-12-30,1197750.73,19.78,4.63,-35.45,0.334,17.0,1.096,51.28,54.62,False,016800,퍼시스,KOSPI,016800.KS,
PASS,974.0,2022-01-04,2025-12-30,660667.57,-33.93,-9.88,-51.44,-0.189,19.0,0.926,-54.96,28.34,True,196700,웹스,KOSDAQ,196700.KQ,
PASS,974.0,2022-01-04,2025-12-30,1506809.86,50.68,10.83,-50.64,0.452,20.0,1.136,114.12,45.07,False,032820,우리기술,KOSDAQ,032820.KQ,
PASS,974.0,2022-01-04,2025-12-30,963540.23,-3.65,-0.93,-23.07,-0.003,19.0,0.999,-5.99,40.97,True,002600,조흥,KOSPI,002600.KS,
PASS,974.0,2022-01-04,2025-12-30,494824.44,-50.52,-16.18,-53.19,-0.379,20.0,0.886,-58.0,34.6,True,133750,메가엠디,KOSDAQ,133750.KQ,
PASS,974.0,2022-01-04,2025-12-30,620266.53,-37.97,-11.29,-57.02,-0.054,21.0,0.981,-18.7,36.24,False,048430,유라테크,KOSDAQ,048430.KQ,
PASS,974.0,2022-01-04,2025-12-30,456614.76,-54.34,-17.85,-66.2,-0.611,23.0,0.818,-53.99,47.23,False,264450,유비쿼스,KOSDAQ,264450.KQ,
PASS,974.0,2022-01-04,2025-12-30,807849.25,-19.22,-5.21,-38.02,0.058,12.0,1.023,-92.15,24.23,True,063080,컴투스홀딩스,KOSDAQ,063080.KQ,
PASS,974.0,2022-01-04,2025-12-30,594684.67,-40.53,-12.22,-56.35,-0.24,19.0,0.931,-17.26,36.65,False,000490,대동,KOSPI,000490.KS,
PASS,974.0,2022-01-04,2025-12-30,529359.84,-47.06,-14.75,-61.07,-0.58,21.0,0.772,-47.41,32.44,True,002760,보락,KOSPI,002760.KS,
PASS,974.0,2022-01-04,2025-12-30,1848262.48,84.83,16.66,-35.13,0.615,13.0,1.186,37.46,47.43,True,190510,나무가,KOSDAQ,190510.KQ,
PASS,974.0,2022-01-04,2025-12-30,1192495.99,19.25,4.52,-34.56,0.304,20.0,1.086,3.29,50.72,True,001200,유진투자증권,KOSPI,001200.KS,
PASS,974.0,2022-01-04,2025-12-30,1790372.72,79.04,15.73,-51.12,0.531,18.0,1.234,-30.41,35.63,True,011230,삼화전자,KOSPI,011230.KS,
