Date,Open,High,Low,Close,Volume,code,name,prev_close,ret_cc,ret_1d_prev,mom_5d_prev,mom_20d_prev,vol_20d_prev,dollar_volume_prev,open_close_ret,open_open_ret,close_next_close_ret,close_next_open_ret,rank,trade_return
2022-10-07,83571.36401367188,83571.36401367188,79870.06817157452,81038.8984375,154247,000120,CJ대한통운,83668.765625,-0.03143188701130073,-0.008083080343440185,-0.11625506635306171,-0.26266089615986266,0.02319949863200701,9651694127.4375,-0.030303030303030276,-0.05710963600918739,-0.034855849992562415,-0.02764431213447449,5.0,-0.06020963600918739
2022-10-11,78798.63383405977,79383.04891811954,76071.36344178082,78214.21875,214064,000120,CJ대한통운,81038.8984375,-0.034855849992562415,-0.03143188701130073,-0.11957663883166314,-0.28583685556077965,0.02320449336099105,12500006967.289062,-0.007416563658838027,-0.012360952484487875,-0.021170623148364598,-0.0049813332004366995,5.0,-0.015460952484487875
2024-02-14,130428.04829545454,137478.21306818182,128665.50710227272,135715.671875,102592,000120,CJ대한통운,132092.6875,0.02742759227303937,-0.030194084342819894,-0.09158242370853553,0.025855553910635543,0.03348577791572155,16442237276.5625,0.04054054054054057,0.05030030960195386,-0.015151506429514905,0.009379518318761049,10.0,0.047200309601953865
2024-03-27,115348.53441310977,121321.59094893294,115348.53441310977,120440.3203125,178069,000120,CJ대한통운,114663.1015625,0.050384288156124724,0.0034274887151919398,-0.09505414614433849,-0.08729538986718377,0.02987992637019301,10166947889.34375,0.04414261460101865,0.044142592703507066,-0.02682928870178891,-2.0971763103894148e-08,6.0,0.04104259270350707
2024-09-24,97248.06408157428,97641.38284429043,96068.10779342572,96658.0859375,39208,000120,CJ대한통운,96756.421875,-0.0010163246593289932,0.017580109601156302,-0.053846134453261474,0.052406429654137776,0.028849739532417925,6907053931.96875,-0.006066734074823277,0.0020222778881644476,-0.012207495250453948,0.008138385382904234,10.0,-0.0010777221118355522
2022-02-11,12998.432420267489,12998.432420267489,11581.310088734568,11874.5078125,229577,000230,일동홀딩스,12900.69921875,-0.07954540981457214,-0.043478336424878306,-0.08965523704817469,-0.0503597763589666,0.06327251575631727,723161595.40625,-0.0864661654135338,-0.10150372990356826,-0.020576099535704495,-0.01646087306316535,7.0,-0.10460372990356827
2022-04-28,44566.0537870472,48573.08932491767,42073.873147639955,44517.1875,1554256,000230,일동홀딩스,43148.93359375,0.03171002832033354,-0.10987903648213027,-0.1376952731630685,1.0159816632825538,0.12826572630018857,67917457050.96875,-0.0010964912280702066,-0.08991229913040233,-0.08671791091923764,-0.08891330055645097,8.0,-0.09301229913040233
2022-05-02,39581.69372775801,44859.25289145907,38750.96682236061,41194.28125,1569336,000230,일동홀딩스,40656.75,0.013221205580869144,-0.08671791091923764,-0.1937984592197013,1.0392156248077482,0.12891596982268405,54574571943.75,0.040740740740740744,0.05679011552989266,0.0047449509451023,0.015421107448651217,2.0,0.05369011552989266
2022-05-03,41829.54268742621,43979.65936762101,41047.68207644628,41389.74609375,530831,000230,일동홀딩스,41194.28125,0.0047449509451023,0.013221205580869144,-0.1878612638861603,0.9696261697516231,0.1290910256503529,64647668559.75,-0.010514018691588856,-0.010514124879320907,0.024793278452968304,-1.0731605515346132e-07,3.0,-0.013614124879320908
2022-05-04,41389.74165196573,42806.863857286866,39093.02635368664,42415.93359375,674066,000230,일동홀딩스,41389.74609375,0.024793278452968304,0.0047449509451023,-0.14616938115788858,1.0214797274912675,0.12855403652081526,21970960308.691406,0.024793388429751984,-0.01770953493306282,0.01152076639831412,-0.0414746268298436,9.0,-0.02080953493306282
2022-05-23,38799.83173765923,39972.6226214172,38164.570008957,38360.03515625,521658,000230,일동홀딩스,39288.49609375,-0.02363187777115494,0.0024938115697108465,-0.14285713068268013,-0.2148437268247535,0.07788022509240153,24500659760.527344,-0.011335012594458349,-0.011334953234978684,-0.06878975300730572,6.004003427761972e-08,4.0,-0.014434953234978684
2022-05-24,38360.03745938782,38408.90374914501,34988.26346614227,35721.2578125,777595,000230,일동홀딩스,38360.03515625,-0.06878975300730572,-0.02363187777115494,-0.13163720179060046,-0.2393410824191512,0.07783453691326213,20010819219.539062,-0.06878980891719744,-0.08280262534675487,-0.05198366431403223,-0.015047962923669833,6.0,-0.08590262534675487
