Date,picks,daily_return,avg_intraday_ret,avg_momentum_5d_prev,equity
2022-01-04,0,0.0,0.0,,1000000.0
2022-01-05,0,0.0,0.0,,1000000.0
2022-01-06,0,0.0,0.0,,1000000.0
2022-01-07,0,0.0,0.0,,1000000.0
2022-01-10,0,0.0,0.0,,1000000.0
2022-01-11,0,0.0,0.0,,1000000.0
2022-01-12,0,0.0,0.0,,1000000.0
2022-01-13,0,0.0,0.0,,1000000.0
2022-01-14,0,0.0,0.0,,1000000.0
2022-01-17,0,0.0,0.0,,1000000.0
2022-01-18,0,0.0,0.0,,1000000.0
2022-01-19,0,0.0,0.0,,1000000.0
2022-01-20,0,0.0,0.0,,1000000.0
2022-01-21,0,0.0,0.0,,1000000.0
2022-01-24,0,0.0,0.0,,1000000.0
2022-01-25,0,0.0,0.0,,1000000.0
2022-01-26,0,0.0,0.0,,1000000.0
2022-01-27,0,0.0,0.0,,1000000.0
2022-01-28,0,0.0,0.0,,1000000.0
2022-02-03,0,0.0,0.0,,1000000.0
2022-02-04,0,0.0,0.0,,1000000.0
2022-02-07,10,-0.007289505606377408,-0.004189505606377408,0.17178187369872833,992710.4943936226
2022-02-08,10,-0.0031,0.0,0.1827121875558059,989633.0918610024
2022-02-09,5,0.0007164590278996441,0.0038164590278996434,0.08543065792707569,990342.1234239744
2022-02-10,10,0.012202562987721806,0.015302562987721802,0.10803666764533663,1002426.8355644497
2022-02-11,10,-0.0018437197336766595,0.0012562802663233397,0.2163660297252583,1000578.6414261524
2022-02-14,10,-0.0201366261393909,-0.017036626139390897,0.22416364808718905,980430.3634006942
2022-02-15,10,-0.029580464124886574,-0.026480464124886572,0.1389903376362694,951428.7782091704
2022-02-16,10,-0.0030036764102514954,9.632358974850374e-05,0.12332835531381625,948570.9940320293
2022-02-17,10,-0.0161463112853356,-0.013046311285335599,0.15162536986470226,933255.0714861479
2022-02-18,10,0.01752975368590295,0.020629753685902953,0.11422749966629595,949614.8030154199
2022-02-21,10,-0.0053686344973818715,-0.0022686344973818716,0.17156873402267817,944516.6682247268
2022-02-22,10,-0.0020497626582278356,0.0010502373417721645,0.15314951078901062,942580.6332281259
2022-02-23,10,0.009030953893072615,0.012130953893072616,0.07354830683661348,951093.0354673123
2022-02-24,10,-0.01768831581738884,-0.014588315817388842,0.12798551298024383,934269.8014842474
2022-02-25,10,0.014790794130439247,0.017890794130439248,0.19183487817725747,948088.3937802874
2022-02-28,10,-0.0031,0.0,0.21235582524953672,945149.3197595684
2022-03-02,2,0.013657246376811642,0.01675724637681164,0.058977414360299574,958057.4568824008
2022-03-03,10,-0.02066610364367771,-0.01756610364367771,0.2942449605781646,938258.1421818708
2022-03-04,10,-0.004466962830184681,-0.0013669628301846814,0.23114496422690373,934066.9779356262
2022-03-07,10,-0.01623601840549865,-0.013136018405498651,0.12000099943763379,918901.4492898949
2022-03-08,10,-0.045682686551083554,-0.04258268655108356,0.24706251374459126,876923.5624106483
2022-03-10,10,-0.001693749999999991,0.0014062500000000088,0.2362516484372347,875438.2731268153
2022-03-11,10,0.01538089669006019,0.01848089669006019,0.05948404998638903,888903.2987643036
2022-03-14,10,-0.020923026300691913,-0.017823026300691915,0.17846512625909416,870304.7516654863
2022-03-15,10,-0.006094864612511683,-0.0029948646125116827,0.18626879340796693,865000.3620324596
2022-03-16,10,-0.007817716995895294,-0.004717716995895294,0.15880271734259896,858238.0340007428
2022-03-17,10,-0.005960234019147023,-0.002860234019147023,0.22676959234532967,853122.7344739657
2022-03-18,10,-0.007775376487446427,-0.004675376487446425,0.19512867461227562,846489.3840234309
2022-03-21,10,0.00730000000000001,0.01040000000000001,0.258167092381616,852668.756526802
2022-03-22,10,0.011216899996741806,0.014316899996741805,0.15755923717026563,862233.0566991094
2022-03-23,10,-0.027487416186096673,-0.02438741618609668,0.22800769673769244,838532.4978202108
2022-03-24,10,-0.008848386875350795,-0.005748386875350797,0.272947371238785,831112.8378719433
2022-03-25,10,-0.005015775553390975,-0.0019157755533909747,0.22864798794662972,826944.1624176358
2022-03-28,10,-0.003981990496520168,-0.0008819904965201685,0.2822426258697549,823651.278621736
2022-03-29,10,-0.0028860188418776194,0.00021398115812237828,0.21192462158713438,821274.205512497
2022-03-30,10,-0.024687815395950115,-0.021587815395950116,0.24676361717216228,800998.7395373489
2022-03-31,10,0.005255139151744696,0.008355139151744694,0.20766435745854003,805208.0993739899
2022-04-01,10,-0.018836130424904358,-0.01573613042490436,0.18894383269452839,790041.094594992
2022-04-04,10,-0.004479342891155755,-0.0013793428911557549,0.2015262035489281,786502.2296341971
2022-04-05,10,0.0007670235482008902,0.0038670235482008873,0.38906052855542006,787105.495365039
2022-04-06,10,-0.02858005454436971,-0.02548005454436971,0.26397913753784874,764609.977375333
2022-04-07,10,-0.04242529139424525,-0.03932529139424525,0.10735994224003567,732171.1762822373
2022-04-08,10,-0.01856543870735738,-0.015465438707357382,0.2385523699160852,718578.0971856756
2022-04-11,10,-0.016494713110966463,-0.01339471311096646,0.14681011048767031,706725.3576247738
2022-04-12,10,0.0025194667732382804,0.00561946677323828,0.09132293586033902,708505.9286811143
2022-04-13,10,-0.02876875658282891,-0.02566875658282891,0.1605735805287515,688123.0940813961
2022-04-14,10,0.0019986946277943973,0.005098694627794398,0.10599995972929248,689498.4420127978
2022-04-15,10,0.030081881812961286,0.03318188181296129,0.13956768424184046,710239.8526556478
2022-04-18,10,-0.01906447686229728,-0.015964476862297284,0.18367702939225977,696699.5014180128
2022-04-19,10,-0.010180368543744486,-0.007080368543744486,0.14548390914924075,689606.8437293343
2022-04-20,10,-0.015469237017724074,-0.012369237017724077,0.18493835760739166,678939.1520146406
2022-04-21,10,-0.02401673917740673,-0.02091673917740673,0.3067547746332711,662633.2474833752
2022-04-22,10,0.013659411088768083,0.016759411088768085,0.1378738063022377,671684.427411836
2022-04-25,10,0.003156058239305907,0.006256058239305906,0.11533128623723832,673804.3025831826
2022-04-26,10,-1.7534184488072644e-05,0.0030824658155119257,0.16571481370541885,673792.4879742323
2022-04-27,10,-0.11693358322129206,-0.11383358322129208,0.32003524054980265,595003.5180078159
2022-04-28,10,-0.016516850054172787,-0.01341685005417279,0.12614268262821599,585175.9341191755
2022-04-29,10,0.017187187360143668,0.020287187360143667,0.1787343553587905,595233.462537529
2022-05-02,10,-0.008379880261838465,-0.005279880261838466,0.1967200093036333,590245.477393625
2022-05-03,10,-0.010941853411978205,-0.007841853411978206,0.18565574749193597,583787.0979029009
2022-05-04,10,-0.04464476808094063,-0.04154476808094063,0.1964730119985028,557724.0583083804
2022-05-06,10,0.006770308534713195,0.00987030853471319,0.14629530957381692,561500.0222603605
2022-05-10,10,0.020994020898843783,0.02409402089884378,0.18272213691265385,573288.1654623958
2022-05-11,10,-0.025240310154253914,-0.02214031015425392,0.1522516424690396,558818.1943583618
2022-05-12,10,-0.025470924833122875,-0.022370924833122873,0.16063407420316972,544584.5781344784
2022-05-13,10,0.010683855244923737,0.013783855244923737,0.1103636924075102,550402.8409358851
2022-05-16,10,-0.014930830104733547,-0.011830830104733547,0.16222257609403248,542184.8696287087
2022-05-17,10,0.016109073026079793,0.01920907302607979,0.18589780485178334,550918.9652871931
2022-05-18,10,0.020961800227591077,0.02406180022759108,0.21687387640442327,562467.2185791344
2022-05-19,10,0.0017122231475389534,0.004812223147538952,0.22650977955864343,563430.2879705175
2022-05-20,10,-0.0003687643840889343,0.002731235615911065,0.253980327422978,563222.514947397
2022-05-23,10,-0.024035997460822998,-0.020935997460822996,0.17886899320474495,549684.9000082432
2022-05-24,10,-0.026038958454750162,-0.022938958454750157,0.16194134273588348,535371.6777337249
2022-05-25,10,0.02455915861264018,0.027659158612640178,0.23492840597330905,548519.9556839027
2022-05-26,10,-0.028381223978473348,-0.025281223978473343,0.2797543401691497,532952.2879649756
2022-05-27,10,-0.03832363996912815,-0.035223639969128154,0.2913842897292469,512527.61636028276
2022-05-30,10,0.018168054330729204,0.021268054330729202,0.22156999397808724,521839.2459403155
2022-05-31,10,-0.02930232889256751,-0.026202328892567506,0.16409653347733075,506548.14072672295
2022-06-02,10,-0.01648908185436337,-0.013389081854363372,0.09582783539728053,498195.6269711044
2022-06-03,10,-0.006209630506933358,-0.0031096305069333585,0.14519191940793424,495102.0162074439
2022-06-07,10,-0.018216439011729958,-0.015116439011729954,0.18224889475797745,486083.0205246164
2022-06-08,10,0.0024928895478603134,0.005592889547860314,0.1934000549802828,487294.77180587465
2022-06-09,10,-0.014233331446345818,-0.011133331446345818,0.23344933304294155,480358.9438066902
2022-06-10,10,-0.02728304558317739,-0.02418304558317739,0.20659506832182348,467253.28884652536
2022-06-13,10,-0.02072792559101848,-0.01762792559101848,0.1447291678470038,457568.0974431559
2022-06-14,10,-0.02916798955605406,-0.02606798955605406,0.12714831184383668,444221.7559557504
2022-06-15,10,-0.00322306225717259,-0.00012306225717259033,0.13625550963813216,442790.00158031454
2022-06-16,10,0.04194219995038602,0.04504219995038602,0.19203403743733927,461361.5883626278
2022-06-17,10,-0.027332685427408705,-0.024232685427408706,0.2598532368408185,448751.3371996224
2022-06-20,10,-0.052371455199000674,-0.04927145519900067,0.19776076883267407,425249.5766479807
2022-06-21,10,-0.009083380711224394,-0.005983380711224395,0.11191226298263672,421386.87284600013
2022-06-22,10,-0.026532606247717982,-0.02343260624771798,0.11308803872519364,410206.38087082
2022-06-23,10,-0.0324518691577828,-0.029351869157782807,0.11561850597860886,396894.41707111255
2022-06-24,10,0.009619754978027386,0.012719754978027386,0.07911047124748594,400712.44411548367
2022-06-27,10,-0.012624483839737351,-0.009524483839737353,0.07770881522061097,395653.6563403661
2022-06-28,10,-0.0010257955250139359,0.002074204474986063,0.16289821418127565,395247.7965902367
2022-06-29,10,-0.00683244340232337,-0.003732443402323371,0.26131202106592816,392547.2883901409
2022-06-30,10,-0.012091598964931172,-0.00899159896493117,0.2637751555039266,387800.76400415617
2022-07-01,10,-0.03280788857938184,-0.029707888579381836,0.3415273051042443,375077.83974770864
2022-07-04,10,-0.05108038735716025,-0.047980387357160245,0.2766509745453982,355918.71840430883
2022-07-05,10,-0.027024396503322577,-0.023924396503322575,0.17230279440260698,346300.2298351964
2022-07-06,10,-0.02629978481002849,-0.02319978481002849,0.19923928421761278,337192.6083108673
2022-07-07,10,-0.023261037829801122,-0.02016103782980112,0.20368858375506993,329349.1582930189
2022-07-08,10,0.00739489959655312,0.01049489959655312,0.22343202051818767,331784.66225080506
2022-07-11,10,-0.007516443822022753,-0.004416443822022753,0.28850296850839763,329290.8214759881
2022-07-12,10,-0.0027179370284751785,0.0003820629715248214,0.3749005323213276,328395.8297591615
2022-07-13,10,0.002461502100334914,0.005561502100334914,0.31911452350348846,329204.1767838549
2022-07-14,10,-0.020126322209548582,-0.017026322209548583,0.34870420204352337,322578.50744917383
2022-07-15,10,-0.0012724960538522305,0.0018275039461477683,0.2530987433580716,322168.0275713872
2022-07-18,10,-0.008960001314679486,-0.005860001314679486,0.20503228119943984,319281.40162079985
2022-07-19,10,0.011835385193638573,0.014935385193638573,0.16746159490228238,323060.21999414684
2022-07-20,10,0.007329190871936101,0.010429190871936101,0.22862592681363897,325427.9900096136
2022-07-21,10,-0.026116463834762526,-0.023016463834762524,0.2152025720308947,316928.96167770814
2022-07-22,10,-0.025273202469747014,-0.02217320246974701,0.17910543975172713,308919.1518607007
2022-07-25,10,-0.01153498560246538,-0.008434985602465384,0.1376936464568584,305355.77389166167
2022-07-26,10,0.006298061076099817,0.009398061076099817,0.22736908984635562,307278.9232055711
2022-07-27,10,0.008943861045645766,0.012043861045645764,0.23199937169211324,310027.1831969774
2022-07-28,10,-0.00643539201155426,-0.0033353920115542614,0.21274667132456587,308032.03673886694
2022-07-29,10,-0.01822472171446586,-0.01512472171446586,0.21119853951585812,302418.2385901609
2022-08-01,10,0.007153046991321713,0.010253046991321712,0.2061605196635674,304581.4504618291
2022-08-02,10,-0.009399063725905207,-0.006299063725905207,0.15948637986096875,301718.66999920976
2022-08-03,10,-0.004762521853174836,-0.0016625218531748365,0.15516708906928484,300281.7282398277
2022-08-04,10,-0.009587289801686645,-0.006487289801686646,0.1011482894849387,297402.8402890411
2022-08-05,10,-0.007295709396202096,-0.004195709396202096,0.14861828529416238,295233.0755926872
2022-08-08,10,-0.005564730365354306,-0.0024647303653543063,0.12450861478136573,293590.1831320796
2022-08-09,10,-0.012978228763077679,-0.009878228763077678,0.17546673021707015,289779.9025727976
2022-08-10,10,-0.0021298569682010903,0.000970143031798909,0.16892736999126692,289162.71282805834
2022-08-11,10,0.0076518104979871925,0.01075181049798719,0.17624750743618348,291375.3311097025
2022-08-12,10,0.002814198381720737,0.0059141983817207365,0.21132052989495534,292195.3190949848
2022-08-16,10,-0.009870545121224225,-0.006770545121224225,0.17151155118039887,289311.19201364723
2022-08-17,10,-0.007757249081539683,-0.004657249081539683,0.15617647085682515,287066.93303512025
2022-08-18,10,0.0031194271558458698,0.006219427155845869,0.09369353179738767,287962.4174215754
2022-08-19,10,-0.003283448608747504,-0.00018344860874750513,0.0977403060792927,287016.907622721
2022-08-22,10,-0.019874426379863305,-0.016774426379863306,0.1300804999478593,281312.6112223972
2022-08-23,10,0.008264761162803906,0.011364761162803905,0.13874711871091,283637.592766235
2022-08-24,10,-0.004293461945414663,-0.0011934619454146644,0.15399451928960275,282419.80555540416
2022-08-25,10,-0.01771721725858669,-0.01461721725858669,0.22415440637328898,277416.1125022512
2022-08-26,10,-0.008742287393414913,-0.005642287393414913,0.21722079114430323,274990.8611191926
2022-08-29,10,0.0005547295512910916,0.0036547295512910916,0.23074541417589084,275143.40667619044
