date,step,equity,cash,positions_value,open_positions,regime
2022-01-04,0,1000000.0,1000000.0,0.0,0,neutral
2022-02-04,1,1000000.0,1000000.0,0.0,0,risk_off
2022-03-07,2,1000000.0,900000.0,100000.0,1,neutral
2022-04-05,3,1005442.19,800000.0,205442.19,2,risk_on
2022-05-03,4,992192.57,892192.57,100000.0,1,neutral
2022-06-03,5,996710.28,996710.28,0.0,0,risk_off
2022-07-04,6,996710.28,996710.28,0.0,0,risk_off
2022-08-01,7,996710.28,896710.28,100000.0,1,risk_on
2022-08-30,8,987497.57,887497.57,100000.0,1,neutral
2022-09-29,9,968963.96,968963.96,0.0,0,risk_off
2022-10-31,10,968963.96,868963.96,100000.0,1,neutral
2022-11-28,11,975975.03,768963.96,207011.07,2,risk_on
2022-12-26,12,972805.63,668963.96,303841.67,3,neutral
2023-01-26,13,995164.4,791975.94,203188.46,2,risk_on
2023-02-23,14,1023118.57,821601.12,201517.45,2,neutral
2023-03-24,15,1027908.74,1027908.74,0.0,0,risk_off
2023-04-21,16,1027908.74,927908.74,100000.0,1,risk_on
2023-05-23,17,1021533.73,921533.73,100000.0,1,neutral
2023-06-22,18,1028815.28,821533.73,207281.55,2,neutral
2023-07-20,19,1042056.65,835854.12,206202.53,2,neutral
2023-08-18,20,1008690.03,1008690.03,0.0,0,risk_off
2023-09-15,21,1008690.03,908690.03,100000.0,1,risk_on
2023-10-20,22,993391.52,993391.52,0.0,0,risk_off
2023-11-17,23,993391.52,893391.52,100000.0,1,risk_on
2023-12-15,24,1016086.56,916086.56,100000.0,1,neutral
2024-01-17,25,1007610.46,907610.46,100000.0,1,neutral
2024-02-16,26,1004683.63,807610.46,197073.17,2,risk_on
2024-03-18,27,997655.59,800943.79,196711.8,2,neutral
2024-04-16,28,947150.02,947150.02,0.0,0,risk_off
2024-05-17,29,947150.02,847150.02,100000.0,1,risk_on
2024-06-17,30,1022108.0,922108.0,100000.0,1,neutral
2024-07-15,31,1031000.62,931000.62,100000.0,1,neutral
2024-08-12,32,1016560.53,1016560.53,0.0,0,risk_off
2024-09-10,33,1016560.53,1016560.53,0.0,0,risk_off
2024-10-16,34,1016560.53,916560.53,100000.0,1,risk_on
2024-11-13,35,1004241.69,1004241.69,0.0,0,risk_off
2024-12-11,36,1004241.69,904241.69,100000.0,1,neutral
2025-01-13,37,1001712.18,804241.69,197470.49,2,risk_on
2025-02-14,38,985238.02,784680.14,200557.88,2,neutral
2025-03-17,39,991836.32,891836.32,100000.0,1,neutral
2025-04-14,40,983381.51,883381.51,100000.0,1,neutral
2025-05-15,41,969465.66,869465.66,100000.0,1,risk_on
2025-06-16,42,980356.75,880356.75,100000.0,1,neutral
2025-07-14,43,981479.64,780356.75,201122.89,2,neutral
2025-08-11,44,965115.08,965115.08,0.0,0,risk_off
2025-09-09,45,965115.08,865115.08,100000.0,1,neutral
2025-10-15,46,1019854.42,919854.42,100000.0,1,neutral
2025-11-12,47,1014048.73,914048.73,100000.0,1,neutral
2025-12-10,48,1002980.03,902980.03,100000.0,1,neutral
