date,step,equity,cash,positions_value,open_positions,regime
2022-01-04,0,1000000.0,1000000.0,0.0,0,neutral
2022-01-18,1,1000000.0,1000000.0,0.0,0,neutral
2022-02-04,2,1000000.0,1000000.0,0.0,0,risk_off
2022-02-18,3,1000000.0,1000000.0,0.0,0,risk_off
2022-03-07,4,1000000.0,900000.0,100000.0,1,neutral
2022-03-22,5,1001904.77,800000.0,201904.77,2,risk_on
2022-04-05,6,1000674.73,700000.0,300674.73,3,risk_on
2022-04-19,7,994332.97,686745.56,307587.42,3,neutral
2022-05-03,8,1010826.99,805628.63,205198.36,2,neutral
2022-05-19,9,999799.4,999799.4,0.0,0,risk_off
2022-06-03,10,999799.4,999799.4,0.0,0,risk_off
2022-06-20,11,999799.4,999799.4,0.0,0,risk_off
2022-07-04,12,999799.4,999799.4,0.0,0,risk_off
2022-07-18,13,999799.4,899799.4,100000.0,1,neutral
2022-08-01,14,1002841.23,799799.4,203041.83,2,risk_on
2022-08-16,15,998821.13,699799.4,299021.73,3,risk_on
2022-08-30,16,987931.04,784318.88,203612.17,2,neutral
2022-09-15,17,986844.56,986844.56,0.0,0,risk_off
2022-09-29,18,986844.56,986844.56,0.0,0,risk_off
2022-10-17,19,986844.56,986844.56,0.0,0,risk_off
2022-10-31,20,986844.56,886844.56,100000.0,1,neutral
2022-11-14,21,990534.6,786844.56,203690.04,2,risk_on
2022-11-28,22,998091.36,686844.56,311246.8,3,risk_on
2022-12-12,23,999659.61,586844.56,412815.05,4,neutral
2022-12-26,24,1002395.29,595791.18,406604.1,4,neutral
2023-01-10,25,1007715.62,699037.17,308678.46,3,neutral
2023-01-26,26,1014353.92,914353.92,100000.0,1,risk_on
2023-02-09,27,1018375.17,814353.92,204021.25,2,risk_on
2023-02-23,28,1004688.57,803171.12,201517.45,2,neutral
2023-03-10,29,1008175.32,1008175.32,0.0,0,risk_off
2023-03-24,30,1008175.32,1008175.32,0.0,0,risk_off
2023-04-07,31,1008175.32,908175.32,100000.0,1,neutral
2023-04-21,32,1005853.59,808175.32,197678.28,2,risk_on
2023-05-09,33,1017556.33,708175.32,309381.01,3,neutral
2023-05-23,34,1016378.0,819544.93,196833.07,2,neutral
2023-06-08,35,1018121.32,719544.93,298576.4,3,neutral
2023-06-22,36,1037563.36,731999.46,305563.9,3,neutral
2023-07-06,37,1088920.43,884035.83,204884.6,2,neutral
2023-07-20,38,1097311.2,895683.72,201627.48,2,neutral
2023-08-03,39,1080600.69,878069.04,202531.65,2,neutral
2023-08-18,40,1078903.76,1078903.76,0.0,0,risk_off
2023-09-01,41,1078903.76,978903.76,100000.0,1,neutral
2023-09-15,42,1076131.5,878903.76,197227.74,2,risk_on
2023-10-05,43,1064179.61,1064179.61,0.0,0,risk_off
2023-10-20,44,1064179.61,1064179.61,0.0,0,risk_off
2023-11-03,45,1064179.61,964179.61,100000.0,1,neutral
2023-11-17,46,1056933.24,956933.24,100000.0,1,risk_on
2023-12-01,47,1060833.95,856933.24,203900.71,2,risk_on
2023-12-15,48,1084578.77,879628.28,204950.5,2,neutral
2024-01-03,49,1086516.56,779628.28,306888.29,3,risk_on
2024-01-17,50,1106964.38,910261.08,196703.3,2,neutral
2024-01-31,51,1097873.88,1097873.88,0.0,0,risk_off
2024-02-16,52,1097873.88,997873.88,100000.0,1,risk_on
2024-03-04,53,1086848.73,986848.73,100000.0,1,neutral
2024-03-18,54,1088693.02,886848.73,201844.28,2,neutral
2024-04-01,55,1083601.66,786848.73,296752.92,3,neutral
2024-04-16,56,1051961.72,1051961.72,0.0,0,risk_off
2024-04-30,57,1051961.72,1051961.72,0.0,0,risk_off
2024-05-17,58,1051961.72,951961.72,100000.0,1,risk_on
2024-05-31,59,1081541.55,981541.55,100000.0,1,neutral
2024-06-17,60,1067662.55,967662.55,100000.0,1,neutral
2024-07-01,61,1073031.68,867662.55,205369.13,2,neutral
2024-07-15,62,1071793.26,876555.17,195238.09,2,neutral
2024-07-29,63,1073276.6,870366.55,202910.05,2,neutral
2024-08-12,64,1055664.65,1055664.65,0.0,0,risk_off
2024-08-27,65,1055664.65,1055664.65,0.0,0,risk_off
2024-09-10,66,1055664.65,1055664.65,0.0,0,risk_off
2024-09-27,67,1055664.65,955664.65,100000.0,1,neutral
2024-10-16,68,1051646.8,855664.65,195982.14,2,risk_on
2024-10-30,69,1048239.28,1048239.28,0.0,0,risk_off
2024-11-13,70,1048239.28,1048239.28,0.0,0,risk_off
2024-11-27,71,1048239.28,1048239.28,0.0,0,risk_off
2024-12-11,72,1048239.28,948239.28,100000.0,1,neutral
2024-12-26,73,1039470.3,939470.3,100000.0,1,neutral
2025-01-13,74,1038379.39,839470.3,198909.09,2,risk_on
2025-01-31,75,1054928.66,847955.16,206973.5,2,neutral
2025-02-14,76,1047987.41,747955.16,300032.26,3,neutral
2025-02-28,77,1062236.2,863024.64,199211.56,2,neutral
2025-03-17,78,1064047.35,763024.64,301022.7,3,neutral
2025-03-31,79,1043702.95,1043702.95,0.0,0,risk_off
2025-04-14,80,1043702.95,943702.95,100000.0,1,neutral
2025-04-28,81,1022451.6,922451.6,100000.0,1,risk_on
2025-05-15,82,1031603.58,931603.58,100000.0,1,risk_on
2025-05-29,83,1037667.94,831603.58,206064.37,2,neutral
2025-06-16,84,1051411.25,951411.25,100000.0,1,neutral
2025-06-30,85,1053657.04,851411.25,202245.79,2,neutral
2025-07-14,86,1057100.35,751411.25,305689.1,3,neutral
2025-07-28,87,1033917.16,738131.57,295785.59,3,neutral
2025-08-11,88,1029421.87,1029421.87,0.0,0,risk_off
2025-08-26,89,1029421.87,929421.87,100000.0,1,neutral
2025-09-09,90,1024468.31,829421.87,195046.44,2,neutral
2025-09-24,91,1055636.17,851301.81,204334.37,2,neutral
2025-10-15,92,1063419.56,862602.12,200817.44,2,neutral
2025-10-29,93,1084443.53,887761.06,196682.46,2,neutral
2025-11-12,94,1073289.06,973289.06,100000.0,1,neutral
2025-11-26,95,1062856.49,1062856.49,0.0,0,risk_off
2025-12-10,96,1062856.49,962856.49,100000.0,1,neutral
2025-12-24,97,1058376.99,862856.49,195520.5,2,neutral
