config,symbol,side,entry_date,entry_price,exit_date,exit_price,quantity,pnl_krw,pnl_pct,holding_steps,exit_reason,entry_year,entry_ret5,entry_ret20,entry_ret60,entry_vol20,entry_volume_surge
base_t55_sl12_mp4,000230,BUY,2022-01-11,13682.5595703125,2022-01-25,11825.6416015625,7.308574,-13830.71,-13.83,2,stop_loss,2022,,,,,
base_t55_sl12_mp4,000300,BUY,2022-01-11,8072.0478515625,2022-02-04,9306.2041015625,12.38843,14943.39,14.94,3,regime_risk_off,2022,,,,,
base_t55_sl12_mp4,000370,BUY,2022-01-11,3911.539306640625,2022-02-04,3619.490478515625,25.565383,-7743.94,-7.74,3,regime_risk_off,2022,,,,,
base_t55_sl12_mp4,000490,BUY,2022-01-11,10722.7802734375,2022-02-04,12365.0078125,9.325939,14969.37,14.97,3,regime_risk_off,2022,,,,,
base_t55_sl12_mp4,000230,BUY,2022-01-25,11825.6416015625,2022-02-04,12705.2353515625,8.456201,7115.71,7.12,1,regime_risk_off,2022,,,,,
base_t55_sl12_mp4,019170,BUY,2022-02-25,29050.0,2022-03-07,40300.0,3.442341,38310.15,38.31,1,take_profit,2022,,,,,
base_t55_sl12_mp4,241710,BUY,2022-02-25,15432.4755859375,2022-03-15,13397.9697265625,6.479842,-13443.73,-13.44,2,stop_loss,2022,,,,,
base_t55_sl12_mp4,000370,BUY,2022-02-25,4064.745361328125,2022-04-05,4883.439453125,24.601787,19780.91,19.78,5,take_profit,2022,,,,,
base_t55_sl12_mp4,053980,BUY,2022-04-05,6901.1171875,2022-04-12,6002.74658203125,14.490407,-13278.7,-13.28,1,stop_loss,2022,0.12516653410280076,0.2071428479917734,0.14343705326551537,0.021073480494003587,4.742728609883109
base_t55_sl12_mp4,002450,BUY,2022-02-25,1606.3922119140625,2022-05-12,1365.433349609375,62.251298,-15255.0,-15.26,10,stop_loss,2022,,,,,
base_t55_sl12_mp4,225530,BUY,2022-03-07,6461.48095703125,2022-05-12,6549.39306640625,15.476328,1056.47,1.06,9,regime_risk_off,2022,,,,,
base_t55_sl12_mp4,040610,BUY,2022-03-15,5360.0,2022-05-12,5290.0,18.656716,-1602.05,-1.6,8,regime_risk_off,2022,,,,,
base_t55_sl12_mp4,010100,BUY,2022-04-12,2814.142333984375,2022-05-12,2754.65625,35.534805,-2407.48,-2.41,4,regime_risk_off,2022,0.044142635055580026,0.12021862225104063,0.16257082802984613,0.017587605086295196,26.55971837048308
base_t55_sl12_mp4,061250,BUY,2022-07-18,29650.0,2022-08-23,25750.0,3.372681,-13414.0,-13.41,5,stop_loss,2022,0.086080586080586,0.15145631067961163,0.011945392491467643,0.037315824367214145,12.695642521851655
base_t55_sl12_mp4,007390,BUY,2022-07-18,22600.0,2022-08-30,27250.0,4.424779,20213.5,20.21,6,take_profit,2022,0.18947368421052624,0.25207756232686984,0.382262996941896,0.03557494668933418,1.8294634184506204
base_t55_sl12_mp4,096690,BUY,2022-07-18,21881.892578125,2022-09-06,22422.69921875,4.569989,2164.07,2.16,7,regime_risk_off,2022,0.2232557418406973,0.25238089808562325,0.03543309706401154,0.05621966043538707,3.8623446325176265
base_t55_sl12_mp4,028300,BUY,2022-07-18,35896.76171875,2022-09-06,41069.078125,2.785767,14065.64,14.07,7,regime_risk_off,2022,0.002469090820630626,0.22844174581618515,0.2992000074647403,0.03836352419099896,1.9652701445426708
base_t55_sl12_mp4,125210,BUY,2022-08-23,13800.0,2022-09-06,15650.0,7.246377,13065.58,13.07,2,regime_risk_off,2022,0.022222222222222143,0.1694915254237288,0.01845018450184499,0.030513225735176053,4.631861039302533
base_t55_sl12_mp4,171120,BUY,2022-08-30,4281.53662109375,2022-09-06,5341.0205078125,23.356101,24371.18,24.37,1,take_profit,2022,0.07439819717072838,0.11464227024515594,0.2004889803159957,0.018299301705428317,4.080496560959791
base_t55_sl12_mp4,036890,BUY,2022-10-31,9873.548828125,2022-11-21,13301.86328125,10.128071,34318.04,34.32,3,take_profit,2022,0.17647057454575243,0.3251535366595706,-0.02702696980693864,0.024531706278187074,3.5843928485458565
base_t55_sl12_mp4,069920,BUY,2022-10-31,40200.0,2022-11-21,35150.0,2.487562,-12824.5,-12.82,3,stop_loss,2022,0.15517241379310343,0.22188449848024305,-0.042857142857142816,0.05734733021304393,2.6900635264104
base_t55_sl12_mp4,027740,BUY,2022-11-21,3070.0,2022-11-28,2670.0,32.57329,-13290.23,-13.29,1,stop_loss,2022,-0.04658385093167705,0.2581967213114753,0.03367003367003374,0.027074872871886934,7.473471003460476
base_t55_sl12_mp4,190510,BUY,2022-11-21,12283.7939453125,2022-12-05,14932.3447265625,8.140807,21196.66,21.2,2,take_profit,2022,0.08032126030616671,0.13983048351661287,0.3794871204344661,0.029019070929664992,3.510257733470343
base_t55_sl12_mp4,054940,BUY,2022-10-31,1355.0,2023-01-03,1285.0,73.800738,-5450.55,-5.45,9,regime_risk_off,2022,0.15319148936170213,0.2152466367713004,0.1386554621848739,0.03475641476011282,2.7929181851344222
base_t55_sl12_mp4,000490,BUY,2022-10-31,11060.8857421875,2023-01-03,12951.62890625,9.040867,16742.68,16.74,9,regime_risk_off,2022,0.12254904584272142,0.19519831178925817,-0.06910565129910684,0.03344158335809252,6.4702354245644
base_t55_sl12_mp4,054040,BUY,2022-11-28,3425.374267578125,2023-01-03,3361.308837890625,29.19389,-2164.71,-2.16,5,regime_risk_off,2022,0.05398775780582232,0.17189632129343546,0.09426754682269833,0.01735619795752984,3.329166800782521
base_t55_sl12_mp4,298540,BUY,2022-12-05,27200.408203125,2023-01-03,27569.923828125,3.676415,1054.42,1.05,4,regime_risk_off,2022,0.09201386669936973,0.1312948982829536,0.07705493807243591,0.018825734003199552,3.252294374594908
base_t55_sl12_mp4,256940,BUY,2023-01-10,7020.0,2023-02-02,8570.0,14.245014,21713.53,21.71,3,take_profit,2023,0.03083700440528636,0.040000000000000036,0.3984063745019921,0.018186068083504498,2.160053230099202
base_t55_sl12_mp4,060850,BUY,2023-01-10,9136.5126953125,2023-02-09,11348.8134765625,10.945095,23841.2,23.84,4,take_profit,2023,0.08409089697682925,0.11753893646738645,0.19765910993205793,0.017842158939247798,2.1991094656020134
base_t55_sl12_mp4,044380,BUY,2023-02-09,4650.0,2023-03-03,3985.0,21.505376,-14558.17,-14.56,3,stop_loss,2023,0.020856201975850697,0.14110429447852768,0.3285714285714285,0.021125332208683026,2.123490749216173
base_t55_sl12_mp4,011150,BUY,2023-01-10,3345.0,2023-03-10,3225.0,29.895366,-3876.68,-3.88,8,regime_risk_off,2023,0.11129568106312293,0.20758122743682317,0.2767175572519085,0.025412626574237557,5.960673729194021
base_t55_sl12_mp4,003960,BUY,2023-01-10,29177.662109375,2023-03-10,24688.79296875,3.427279,-15638.45,-15.64,8,stop_loss,2023,0.1544401117736336,0.13702532462081107,0.2120690375593044,0.032027405238290105,2.9453157047742264
