year,cost_bps,total_return_pct,max_drawdown_pct,sharpe_ratio,win_rate_pct,total_trades,final_equity_krw,total_cost_krw
2022,30,12.43,-4.12,3.1853,59.26,27,1124310.09,16628.78
2023,30,-4.2,-12.2,-0.6598,34.21,38,958016.67,22725.26
2024,30,0.97,-8.0,0.3532,37.93,29,1009716.84,17448.22
2025,30,94.93,-4.52,2.5718,43.59,39,1949338.1,26323.39
2026,30,1.33,-10.28,0.5769,35.0,20,1013304.5,12076.14
