symbol,side,entry_date,entry_price,exit_date,exit_price,quantity,pnl_krw,pnl_pct,holding_steps,exit_reason
000230,BUY,2022-01-11,13682.5595703125,2022-01-25,11825.6416015625,7.308574,-13571.42,-13.57,2,stop_loss
000300,BUY,2022-01-11,8072.0478515625,2022-02-04,9306.2041015625,12.38843,15289.26,15.29,3,regime_risk_off
000370,BUY,2022-01-11,3911.539306640625,2022-02-04,3619.490478515625,25.565383,-7466.34,-7.47,3,regime_risk_off
000490,BUY,2022-01-11,10722.7802734375,2022-02-04,12365.0078125,9.325939,15315.31,15.32,3,regime_risk_off
000230,BUY,2022-01-25,11825.6416015625,2022-02-04,12705.2353515625,8.456201,7438.02,7.44,1,regime_risk_off
019170,BUY,2022-02-25,29050.0,2022-03-07,40300.0,3.442341,38726.33,38.73,1,take_profit
241710,BUY,2022-02-25,15432.4755859375,2022-03-15,13397.9697265625,6.479842,-13183.28,-13.18,2,stop_loss
000370,BUY,2022-02-25,4064.745361328125,2022-04-05,4883.439453125,24.601787,20141.34,20.14,5,take_profit
053980,BUY,2022-04-05,6901.1171875,2022-04-12,6002.74658203125,14.490407,-13017.76,-13.02,1,stop_loss
002450,BUY,2022-02-25,1606.3922119140625,2022-05-12,1365.433349609375,62.251298,-15000.0,-15.0,10,stop_loss
225530,BUY,2022-03-07,6461.48095703125,2022-05-12,6549.39306640625,15.476328,1360.56,1.36,9,regime_risk_off
040610,BUY,2022-03-15,5360.0,2022-05-12,5290.0,18.656716,-1305.97,-1.31,8,regime_risk_off
010100,BUY,2022-04-12,2814.142333984375,2022-05-12,2754.65625,35.534805,-2113.83,-2.11,4,regime_risk_off
061250,BUY,2022-07-18,29650.0,2022-08-23,25750.0,3.372681,-13153.46,-13.15,5,stop_loss
007390,BUY,2022-07-18,22600.0,2022-08-30,27250.0,4.424779,20575.22,20.58,6,take_profit
096690,BUY,2022-07-18,21881.892578125,2022-09-06,22422.69921875,4.569989,2471.48,2.47,7,regime_risk_off
028300,BUY,2022-07-18,35896.76171875,2022-09-06,41069.078125,2.785767,14408.87,14.41,7,regime_risk_off
125210,BUY,2022-08-23,13800.0,2022-09-06,15650.0,7.246377,13405.8,13.41,2,regime_risk_off
171120,BUY,2022-08-30,4281.53662109375,2022-09-06,5341.0205078125,23.356101,24745.41,24.75,1,take_profit
036890,BUY,2022-10-31,9873.548828125,2022-11-21,13301.86328125,10.128071,34722.21,34.72,3,take_profit
069920,BUY,2022-10-31,40200.0,2022-11-21,35150.0,2.487562,-12562.19,-12.56,3,stop_loss
027740,BUY,2022-11-21,3070.0,2022-11-28,2670.0,32.57329,-13029.32,-13.03,1,stop_loss
190510,BUY,2022-11-21,12283.7939453125,2022-12-05,14932.3447265625,8.140807,21561.34,21.56,2,take_profit
054940,BUY,2022-10-31,1355.0,2023-01-03,1285.0,73.800738,-5166.05,-5.17,9,regime_risk_off
000490,BUY,2022-10-31,11060.8857421875,2023-01-03,12951.62890625,9.040867,17093.96,17.09,9,regime_risk_off
054040,BUY,2022-11-28,3425.374267578125,2023-01-03,3361.308837890625,29.19389,-1870.32,-1.87,5,regime_risk_off
298540,BUY,2022-12-05,27200.408203125,2023-01-03,27569.923828125,3.676415,1358.49,1.36,4,regime_risk_off
256940,BUY,2023-01-10,7020.0,2023-02-02,8570.0,14.245014,22079.77,22.08,3,take_profit
060850,BUY,2023-01-10,9136.5126953125,2023-02-09,11348.8134765625,10.945095,24213.84,24.21,4,take_profit
044380,BUY,2023-02-09,4650.0,2023-03-03,3985.0,21.505376,-14301.08,-14.3,3,stop_loss
011150,BUY,2023-01-10,3345.0,2023-03-10,3225.0,29.895366,-3587.44,-3.59,8,regime_risk_off
003960,BUY,2023-01-10,29177.662109375,2023-03-10,24688.79296875,3.427279,-15384.61,-15.38,8,stop_loss
154030,BUY,2023-02-02,4000.0,2023-03-10,3705.0,25.0,-7375.0,-7.38,5,regime_risk_off
005830,BUY,2023-03-03,64399.234375,2023-03-10,64907.65625,1.552813,789.48,0.79,1,regime_risk_off
356890,BUY,2023-03-31,12602.9580078125,2023-04-28,10225.2265625,7.934645,-18866.46,-18.87,4,stop_loss
049080,BUY,2023-03-31,1954.0,2023-04-28,1607.0,51.177073,-17758.44,-17.76,4,stop_loss
005389,BUY,2023-03-31,72986.3671875,2023-05-09,87615.625,1.370119,20043.82,20.04,5,take_profit
276730,BUY,2023-03-31,87400.0,2023-05-16,75250.0,1.144165,-13901.6,-13.9,6,stop_loss
006880,BUY,2023-04-28,7482.919921875,2023-05-16,6990.99609375,13.363767,-6573.96,-6.57,2,regime_risk_off
344820,BUY,2023-04-28,39494.64453125,2023-05-16,35154.1015625,2.531989,-10990.21,-10.99,2,regime_risk_off
023160,BUY,2023-05-09,17717.107421875,2023-05-16,16347.6689453125,5.644262,-7729.47,-7.73,1,regime_risk_off
092460,BUY,2023-05-23,6649.09326171875,2023-05-31,5617.95068359375,15.039645,-15508.02,-15.51,1,stop_loss
357550,BUY,2023-05-31,40550.0,2023-06-08,60100.0,2.466091,48212.08,48.21,1,take_profit
309930,BUY,2023-05-23,5312.5,2023-06-15,6537.5,18.823529,23058.82,23.06,3,take_profit
090410,BUY,2023-05-23,2003.2725830078125,2023-06-29,2742.34423828125,49.918319,36893.21,36.89,5,take_profit
006370,BUY,2023-06-08,10941.1767578125,2023-07-06,14442.3525390625,9.139785,31999.99,32.0,4,take_profit
199820,BUY,2023-05-23,11291.7392578125,2023-07-13,13676.0908203125,8.856032,21115.89,21.12,7,take_profit
333620,BUY,2023-06-15,14276.60546875,2023-07-27,13395.21484375,7.004466,-6173.67,-6.17,6,regime_risk_off
066430,BUY,2023-06-29,1243.0,2023-07-27,1161.0,80.450523,-6596.94,-6.6,4,regime_risk_off
092780,BUY,2023-07-06,5198.63525390625,2023-07-27,5245.63916015625,19.235818,904.16,0.9,3,regime_risk_off
092870,BUY,2023-07-13,14549.9892578125,2023-07-27,14835.283203125,6.872857,1960.78,1.96,2,regime_risk_off
175140,BUY,2023-08-03,11980.0,2023-08-10,12430.0,8.347245,3756.26,3.76,1,regime_risk_off
323410,BUY,2023-08-03,27334.919921875,2023-08-10,26756.400390625,3.658324,-2116.41,-2.12,1,regime_risk_off
228760,BUY,2023-08-03,17470.0,2023-08-10,22250.0,5.724098,27361.19,27.36,1,take_profit
130660,BUY,2023-08-03,7640.11865234375,2023-08-10,7381.88671875,13.088802,-3379.95,-3.38,1,regime_risk_off
