year,steps,risk_on_share,neutral_share,risk_off_share,breadth20_mean,breadth20_min,avg_ret20_mean,median_ret20_mean,dispersion_ret20_mean,mean_vol20,p75_vol20,top_score_mean,count_score55_mean,count_score65_mean,score_gap_55_65_mean
2022,37,0.2702702702702703,0.2972972972972973,0.43243243243243246,0.41147567567567567,0.0417,-0.015356351351351353,-0.030086977116088296,0.10829707616914577,0.027040717382008046,0.031403444177390376,85.76891891891891,163.02702702702703,74.56756756756756,88.45945945945945
2023,49,0.24489795918367346,0.46938775510204084,0.2857142857142857,0.44719591836734696,0.1173,0.00613634693877551,-0.013468221291025309,0.10553672801698429,0.0264511582662184,0.03128880317064407,86.53163265306122,204.0,101.0,103.0
2024,49,0.12244897959183673,0.5306122448979592,0.3469387755102041,0.3792408163265306,0.0975,-0.007778795918367347,-0.02419315239510522,0.10590544202970051,0.02687666695787003,0.032358140707030754,86.36612244897958,181.9387755102041,81.81632653061224,100.12244897959184
2025,48,0.20833333333333334,0.6666666666666666,0.125,0.46476875,0.1744,0.02853272916666667,-0.002426409021155812,0.10231084108878236,0.026887084551251116,0.030602310672319586,88.35208333333333,257.375,125.95833333333333,131.41666666666666
2026,23,0.21739130434782608,0.5652173913043478,0.21739130434782608,0.42409130434782605,0.0847,0.02043213043478261,-0.023958560105835885,0.1414993285785404,0.03724943587369834,0.04431279470751943,86.59217391304347,230.04347826086956,123.34782608695652,106.69565217391305
