total_return_pct,max_drawdown_pct,total_trades,winning_trades,win_rate_pct,sharpe_ratio,final_equity_krw,initial_cash_krw,transaction_cost_bps,total_cost_krw,candidate,overlay,alpha,year,cost_bps,objective
90.44,-5.05,38,17,44.74,2.5045,1904388.82,1000000,50.0,42725.57,sentiment_hybrid_a0p1,hybrid,0.1,2025,50.0,92.92399999999999
90.66,-3.49,36,17,47.22,2.5082,1906640.3,1000000,50.0,40726.87,sentiment_hybrid_a0p2,hybrid,0.2,2025,50.0,93.9314
89.25,-4.68,37,17,45.95,2.4858,1892537.18,1000000,50.0,41661.03,sentiment_hybrid_a0p25,hybrid,0.25,2025,50.0,91.88159999999999
89.25,-4.68,37,17,45.95,2.4858,1892537.18,1000000,50.0,41661.03,sentiment_hybrid_a0p3,hybrid,0.3,2025,50.0,91.88159999999999
86.48,-5.18,36,15,41.67,2.4415,1864835.79,1000000,50.0,40516.97,sentiment_hybrid_a0p35,hybrid,0.35,2025,50.0,88.773
86.58,-5.13,36,15,41.67,2.443,1865777.25,1000000,50.0,40521.68,sentiment_hybrid_a0p4,hybrid,0.4,2025,50.0,88.901
88.83,-5.07,38,17,44.74,2.479,1888277.38,1000000,50.0,42644.79,sentiment_hybrid_a0p45,hybrid,0.45,2025,50.0,91.253
96.41,-2.08,39,19,48.72,2.5976,1964080.45,1000000,50.0,44030.74,sentiment_hybrid_a0p5,hybrid,0.5,2025,50.0,100.56519999999999
94.88,-2.09,40,19,47.5,2.5741,1948834.06,1000000,50.0,44959.15,sentiment_hybrid_a0p55,hybrid,0.55,2025,50.0,98.9832
93.48,-2.8,41,19,46.34,2.5522,1934759.35,1000000,50.0,45893.36,sentiment_hybrid_a0p6,hybrid,0.6,2025,50.0,97.1844
93.48,-2.8,41,19,46.34,2.5522,1934759.35,1000000,50.0,45893.36,sentiment_hybrid_a0p7,hybrid,0.7,2025,50.0,97.1844
93.48,-2.8,41,19,46.34,2.5522,1934759.35,1000000,50.0,45893.36,sentiment_hybrid_a0p75,hybrid,0.75,2025,50.0,97.1844
95.13,-2.5,39,20,51.28,2.5779,1951301.94,1000000,50.0,43966.08,sentiment_hybrid_a0p9,hybrid,0.9,2025,50.0,99.0358
95.13,-2.5,39,20,51.28,2.5779,1951301.94,1000000,50.0,43966.08,sentiment_hybrid_a1p0,hybrid,1.0,2025,50.0,99.0358
92.05,-3.6,38,18,47.37,2.5294,1920481.61,1000000,50.0,42806.17,sentiment_hybrid_a1p25,hybrid,1.25,2025,50.0,95.3088
89.97,-4.16,40,18,45.0,2.497,1899665.11,1000000,50.0,44711.66,sentiment_hybrid_a1p5,hybrid,1.5,2025,50.0,92.884
87.64,-5.44,39,17,43.59,2.4598,1876446.66,1000000,50.0,43589.96,sentiment_hybrid_a2p0,hybrid,2.0,2025,50.0,89.8396
2.14,-9.81,20,7,35.0,0.8032,1021355.26,1000000,10.0,4025.38,canonical_base,none,,2026,10.0,-1.1585999999999999
10.24,-9.4,20,11,55.0,3.6354,1102364.33,1000000,10.0,4106.47,sentiment_rerank,rerank,,2026,10.0,12.8108
9.35,-5.3,15,6,40.0,3.2123,1093477.44,1000000,10.0,3096.57,sentiment_hybrid_a0p1,hybrid,0.1,2026,10.0,13.1246
11.53,-5.98,14,7,50.0,3.3277,1115260.6,1000000,10.0,2918.18,sentiment_hybrid_a0p2,hybrid,0.2,2026,10.0,15.195400000000001
8.43,-7.33,13,6,46.15,2.5595,1084294.51,1000000,10.0,2686.98,sentiment_hybrid_a0p25,hybrid,0.25,2026,10.0,9.884
9.52,-6.84,14,6,42.86,2.9444,1095234.02,1000000,10.0,2898.13,sentiment_hybrid_a0p3,hybrid,0.3,2026,10.0,11.9888
13.49,-5.74,14,7,50.0,4.4406,1134855.59,1000000,10.0,2937.79,sentiment_hybrid_a0p35,hybrid,0.35,2026,10.0,19.5012
13.49,-5.74,14,7,50.0,4.4406,1134855.59,1000000,10.0,2937.79,sentiment_hybrid_a0p4,hybrid,0.4,2026,10.0,19.5012
13.49,-5.74,14,7,50.0,4.4406,1134855.59,1000000,10.0,2937.79,sentiment_hybrid_a0p45,hybrid,0.45,2026,10.0,19.5012
13.49,-5.74,14,7,50.0,4.4406,1134855.59,1000000,10.0,2937.79,sentiment_hybrid_a0p5,hybrid,0.5,2026,10.0,19.5012
13.49,-5.74,14,7,50.0,4.4406,1134855.59,1000000,10.0,2937.79,sentiment_hybrid_a0p55,hybrid,0.55,2026,10.0,19.5012
13.49,-5.74,14,7,50.0,4.4406,1134855.59,1000000,10.0,2937.79,sentiment_hybrid_a0p6,hybrid,0.6,2026,10.0,19.5012
6.82,-8.2,14,6,42.86,2.2064,1068211.88,1000000,10.0,2871.08,sentiment_hybrid_a0p7,hybrid,0.7,2026,10.0,7.132800000000001
6.82,-8.2,14,6,42.86,2.2064,1068211.88,1000000,10.0,2871.08,sentiment_hybrid_a0p75,hybrid,0.75,2026,10.0,7.132800000000001
5.84,-8.27,14,6,42.86,1.9093,1058395.07,1000000,10.0,2861.26,sentiment_hybrid_a0p9,hybrid,0.9,2026,10.0,5.5236
6.79,-7.45,14,6,42.86,2.2779,1067885.97,1000000,10.0,2870.76,sentiment_hybrid_a1p0,hybrid,1.0,2026,10.0,7.620800000000001
5.45,-7.1,14,5,35.71,2.0771,1054480.73,1000000,10.0,2857.34,sentiment_hybrid_a1p25,hybrid,1.25,2026,10.0,6.054200000000001
5.45,-7.1,14,5,35.71,2.0771,1054480.73,1000000,10.0,2857.34,sentiment_hybrid_a1p5,hybrid,1.5,2026,10.0,6.054200000000001
7.47,-5.43,13,6,46.15,3.1457,1074679.38,1000000,10.0,2677.36,sentiment_hybrid_a2p0,hybrid,2.0,2026,10.0,11.0464
1.33,-10.28,20,7,35.0,0.5769,1013304.5,1000000,30.0,12076.14,canonical_base,none,,2026,30.0,-2.6561999999999997
9.42,-9.6,20,11,55.0,3.3364,1094151.39,1000000,30.0,12319.41,sentiment_rerank,rerank,,2026,30.0,11.2928
8.73,-5.45,15,5,33.33,3.0232,1087284.3,1000000,30.0,9289.72,sentiment_hybrid_a0p1,hybrid,0.1,2026,30.0,12.051400000000001
10.94,-6.13,14,6,42.86,3.176,1109424.24,1000000,30.0,8754.54,sentiment_hybrid_a0p2,hybrid,0.2,2026,30.0,14.227000000000002
7.89,-7.55,13,5,38.46,2.416,1078920.55,1000000,30.0,8060.94,sentiment_hybrid_a0p25,hybrid,0.25,2026,30.0,8.947
8.94,-6.99,14,6,42.86,2.787,1089437.76,1000000,30.0,8694.4,sentiment_hybrid_a0p3,hybrid,0.3,2026,30.0,11.018999999999998
