name,step,score_threshold,stop_loss_pct,take_profit_pct,max_holding_steps,max_positions,trailing_stop_pct,sizing_mode,min_volume,total_return_pct,max_drawdown_pct,sharpe_ratio,total_trades,win_rate_pct,final_equity_krw
s5_t55_sl10_tp15_h20_mp4_tr0_flat,5,55.0,0.1,0.15,20,4,0.0,flat,0.0,38.82,-9.96,2.3071,149,45.64,1388230.99
s5_t55_sl10_tp18_h20_mp4_tr0_flat,5,55.0,0.1,0.18,20,4,0.0,flat,0.0,34.85,-9.52,2.0252,143,44.06,1348544.75
s5_t55_sl10_tp20_h20_mp4_tr0_flat,5,55.0,0.1,0.2,20,4,0.0,flat,0.0,41.96,-9.42,2.3169,141,43.26,1419600.62
s5_t55_sl12_tp15_h20_mp4_tr0_flat,5,55.0,0.12,0.15,20,4,0.0,flat,0.0,38.32,-9.82,2.2213,141,45.39,1383208.58
s5_t55_sl12_tp18_h20_mp4_tr0_flat,5,55.0,0.12,0.18,20,4,0.0,flat,0.0,38.27,-10.04,2.1548,137,45.26,1382689.22
s5_t55_sl12_tp20_h20_mp4_tr0_flat,5,55.0,0.12,0.2,20,4,0.0,flat,0.0,47.01,-10.14,2.5161,134,45.52,1470070.5
s5_t60_sl10_tp15_h20_mp4_tr0_flat,5,60.0,0.1,0.15,20,4,0.0,flat,0.0,38.82,-9.96,2.3071,149,45.64,1388230.99
s5_t60_sl10_tp18_h20_mp4_tr0_flat,5,60.0,0.1,0.18,20,4,0.0,flat,0.0,34.85,-9.52,2.0252,143,44.06,1348544.75
s5_t60_sl10_tp20_h20_mp4_tr0_flat,5,60.0,0.1,0.2,20,4,0.0,flat,0.0,41.96,-9.42,2.3169,141,43.26,1419600.62
s5_t60_sl12_tp15_h20_mp4_tr0_flat,5,60.0,0.12,0.15,20,4,0.0,flat,0.0,38.32,-9.82,2.2213,141,45.39,1383208.58
s5_t60_sl12_tp18_h20_mp4_tr0_flat,5,60.0,0.12,0.18,20,4,0.0,flat,0.0,38.27,-10.04,2.1548,137,45.26,1382689.22
s5_t60_sl12_tp20_h20_mp4_tr0_flat,5,60.0,0.12,0.2,20,4,0.0,flat,0.0,47.01,-10.14,2.5161,134,45.52,1470070.5
s5_t65_sl10_tp15_h20_mp4_tr0_flat,5,65.0,0.1,0.15,20,4,0.0,flat,0.0,37.07,-10.08,2.2144,143,44.76,1370701.01
s5_t65_sl10_tp18_h20_mp4_tr0_flat,5,65.0,0.1,0.18,20,4,0.0,flat,0.0,33.1,-9.64,1.9327,137,43.07,1331014.77
s5_t65_sl10_tp20_h20_mp4_tr0_flat,5,65.0,0.1,0.2,20,4,0.0,flat,0.0,40.21,-9.54,2.2279,135,42.22,1402070.64
s5_t65_sl12_tp15_h20_mp4_tr0_flat,5,65.0,0.12,0.15,20,4,0.0,flat,0.0,36.62,-9.96,2.1324,136,44.85,1366203.75
s5_t65_sl12_tp18_h20_mp4_tr0_flat,5,65.0,0.12,0.18,20,4,0.0,flat,0.0,36.57,-10.18,2.067,132,44.7,1365684.39
s5_t65_sl12_tp20_h20_mp4_tr0_flat,5,65.0,0.12,0.2,20,4,0.0,flat,0.0,45.31,-10.29,2.4314,129,44.96,1453065.67
