name,step,score_threshold,stop_loss_pct,take_profit_pct,max_holding_steps,max_positions,trailing_stop_pct,sizing_mode,min_volume,total_return_pct,max_drawdown_pct,sharpe_ratio,total_trades,win_rate_pct,final_equity_krw
s3_t55_sl12_tp20_h10_mp4_tr0_flat,3,55.0,0.12,0.2,10,4,0.0,flat,0.0,2.14,-23.62,0.1811,186,37.1,1021442.09
s4_t55_sl12_tp20_h10_mp4_tr0_flat,4,55.0,0.12,0.2,10,4,0.0,flat,0.0,11.74,-15.39,0.6637,149,39.6,1117438.61
s5_t55_sl12_tp20_h10_mp4_tr0_flat,5,55.0,0.12,0.2,10,4,0.0,flat,0.0,49.2,-10.14,2.5876,142,45.07,1492044.52
s6_t55_sl12_tp20_h10_mp4_tr0_flat,6,55.0,0.12,0.2,10,4,0.0,flat,0.0,-12.02,-26.53,-0.5733,130,36.15,879848.46
s8_t55_sl12_tp20_h10_mp4_tr0_flat,8,55.0,0.12,0.2,10,4,0.0,flat,0.0,17.39,-13.98,1.179,106,45.28,1173908.82
