name,step,score_threshold,stop_loss_pct,take_profit_pct,max_holding_steps,total_return_pct,max_drawdown_pct,sharpe_ratio,total_trades,win_rate_pct,final_equity_krw
s5_t60_sl5_tp8_h20,5,60.0,0.05,0.08,20,7.28,-11.23,0.7106,138,40.58,1072782.35
s5_t65_sl5_tp8_h20,5,65.0,0.05,0.08,20,7.12,-11.24,0.6981,135,40.0,1071193.75
s5_t70_sl5_tp8_h20,5,70.0,0.05,0.08,20,7.12,-11.24,0.6981,135,40.0,1071193.75
s5_t75_sl5_tp8_h20,5,75.0,0.05,0.08,20,7.12,-11.24,0.6981,135,40.0,1071193.75
s10_t60_sl5_tp8_h20,10,60.0,0.05,0.08,20,5.54,-7.66,0.9006,71,42.25,1055391.91
s10_t65_sl5_tp8_h20,10,65.0,0.05,0.08,20,5.84,-7.63,0.946,70,42.86,1058376.99
s10_t70_sl5_tp8_h20,10,70.0,0.05,0.08,20,5.84,-7.63,0.946,70,42.86,1058376.99
s10_t75_sl5_tp8_h20,10,75.0,0.05,0.08,20,5.84,-7.63,0.946,70,42.86,1058376.99
s20_t60_sl5_tp8_h20,20,60.0,0.05,0.08,20,0.3,-9.11,0.2013,36,36.11,1002980.03
s20_t65_sl5_tp8_h20,20,65.0,0.05,0.08,20,0.3,-9.11,0.2013,36,36.11,1002980.03
s20_t70_sl5_tp8_h20,20,70.0,0.05,0.08,20,0.3,-9.11,0.2013,36,36.11,1002980.03
s20_t75_sl5_tp8_h20,20,75.0,0.05,0.08,20,0.3,-9.11,0.2013,36,36.11,1002980.03
